edition,book,letter,date,selection,location,location_lat,location_long,location_count,topo_id,topo_count
phi0474.phi056.perseus-lat1,14,13,707,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,14,14,705,Menturnis,Menturnis,41.242193,13.768467,1,,0
phi0474.phi056.perseus-lat1,14,15,707,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,14,16,707,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,14,17,706,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,14,18,705,Formi,Formium,,,1,,0
phi0474.phi056.perseus-lat1,14,19,706,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,14,20,707,,,,,91,,0
phi0474.phi056.perseus-lat1,14,21,707,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,14,22,707,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,14,23,707,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,14,24,707,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,15,1,703,,,,,91,,0
phi0474.phi056.perseus-lat1,15,2,703,,,,,91,,0
phi0474.phi056.perseus-lat1,15,3,703,Iconium,Iconium,37.872202,32.492331,1,,0
phi0474.phi056.perseus-lat1,15,4,703,Tarsi,Tarsium,,,5,,0
phi0474.phi056.perseus-lat1,15,5,704,Romae,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,15,6,704,Tarsi,Tarsium,,,5,,0
phi0474.phi056.perseus-lat1,15,7,703,,,,,91,,0
phi0474.phi056.perseus-lat1,15,8,,,,,,91,,0
phi0474.phi056.perseus-lat1,15,9,,,,,,91,,0
phi0474.phi056.perseus-lat1,15,10,703,Tarsi,Tarsium,,,5,,0
phi0474.phi056.perseus-lat1,15,11,,,,,,91,,0
phi0474.phi056.perseus-lat1,15,12,,,,,,91,,0
phi0474.phi056.perseus-lat1,15,13,,,,,,91,,0
phi0474.phi056.perseus-lat1,15,14,703,Alexandri,Alexandrium,,,1,,0
phi0474.phi056.perseus-lat1,15,15,707,Brundisii,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,15,16,709,Romae,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,15,17,708,Romae,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,15,18,708,Romae,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,15,19,709,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,15,20,710,Romae,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,15,21,707,Romae,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,16,1,704,Patris,Patra,38.248795,21.734916,2,,0
phi0474.phi056.perseus-lat1,16,2,704,Alyziae,Alyzia,38.713373,20.951657,2,29,6
phi0474.phi056.perseus-lat1,16,3,704,Alyziae,Alyzia,38.713373,20.951657,2,29,6
phi0474.phi056.perseus-lat1,16,4,704,,,,,91,,0
phi0474.phi056.perseus-lat1,16,5,704,,,,,91,,0
phi0474.phi056.perseus-lat1,16,6,704,Acti,Actium,38.92,20.8,1,29,6
phi0474.phi056.perseus-lat1,16,7,704,Corcyrae,Corcyra,39.606285,19.91558,1,,0
phi0474.phi056.perseus-lat1,16,8,705,,,,,91,,0
phi0474.phi056.perseus-lat1,16,9,704,Brundisi,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,16,10,701,Mai,Maium,,,1,,0
phi0474.phi056.perseus-lat1,16,11,705,,,,,91,,0
phi0474.phi056.perseus-lat1,16,12,705,Capuae,Capua,41.086092,14.250207,1,37,27
phi0474.phi056.perseus-lat1,16,13,699,,,,,91,,0
phi0474.phi056.perseus-lat1,16,14,701,,,,,91,,0
phi0474.phi056.perseus-lat1,16,15,701,,,,,91,,0
phi0474.phi056.perseus-lat1,16,16,701,,,,,91,,0
phi0474.phi056.perseus-lat1,16,17,709,Asturae,Astura,41.408855,12.765272,6,37,27
phi0474.phi056.perseus-lat1,16,18,707,Romae,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,16,19,709,,,,,91,,0
phi0474.phi056.perseus-lat1,16,20,,,,,,91,,0
phi0474.phi056.perseus-lat1,16,21,710,Athenis,Athens,37.98,23.73,8,20,8
phi0474.phi056.perseus-lat1,16,22,709,Asturae,Astura,41.408855,12.765272,6,37,27
phi0474.phi056.perseus-lat1,16,23,710,,,,,91,,0
phi0474.phi056.perseus-lat1,16,24,710,Arpinati,Arpinatium,,,1,,0
phi0474.phi056.perseus-lat1,16,25,710,Athenis,Athens,37.98,23.73,8,20,8
phi0474.phi056.perseus-lat1,16,26,710,,,,,91,,0
phi0474.phi056.perseus-lat1,16,27,710,,,,,91,,0
