urn,label,description,link
urn:cite2:hmt:pers.v1:pers1,Achilles,"hero of the Iliad, greatest warrior of the Greeks at Troy",https://en.wikipedia.org/wiki/Achilles
urn:cite2:hmt:pers.v1:pers8,Zeus,king of the gods,https://en.wikipedia.org/wiki/Zeus
urn:cite2:hmt:pers.v1:pers22,Agamemnon,leader of the Greek forces at Troy,https://en.wikipedia.org/wiki/Agamemnon
urn:cite2:hmt:pers.v1:pers35,Leto,"Titan, mother of Apollo and Artemis",https://en.wikipedia.org/wiki/Leto
urn:cite2:hmt:pers.v1:pers40,Apollo,god of prophecy and archery,https://en.wikipedia.org/wiki/Apollo
urn:cite2:hmt:pers.v1:pers44,Chryses,priest of Apollo,https://en.wikipedia.org/wiki/Chryses_of_Troy
urn:cite2:hmt:pers.v1:pers119,Menelaus,"king of Sparta, brother of Agamemnon",https://en.wikipedia.org/wiki/Menelaus
urn:cite2:hmt:pers.v1:pers145,Priam,"king of Troy, father of Hector and Paris",https://en.wikipedia.org/wiki/Priam
