ve_ref,value,tags
1.98.t3,ἀπὸ,
1.98.t4,πατρὶ,Dat1.
1.98.t5,φίλῳ,Agr.
1.98.t6,δόμεναι,Aor12.;Infin.
1.98.t7,ἑλικώπιδα,Agr.
1.98.t8,κούρην,Acc1.
1.99.t1,ἀπριάτην,Acc8.
1.99.t2,ἀνάποινον,Acc8.
1.99.t3,ἄγειν,Pres6.;Infin.
1.99.t4,θ',
1.99.t5,ἱερὴν,Agr.
1.99.t6,ἑκατόμβην,Acc1.
1.100.t1,ἐς,Prep4.
1.100.t2,Χρύσην,GBP.
1.100.t3,τότε,
1.100.t4,κέν,
1.100.t5,μιν,Acc1.
1.100.t6,ἱλασσάμενοι,Aor12.;Partic.;Mid.
1.100.t7,πεπίθοιμεν,Aor12.;Opt.
1.101.t1,ἤτοι,
1.101.t2,ὅ,Nom1.
1.101.t3,γ',
1.101.t4,ὣς,
1.101.t5,εἰπὼν,Aor12.;Partic.
1.101.t6,κατ',
1.101.t7,ἄρ',
1.101.t8,ἕζετο,Aor2.;Mid.
1.101.t9,τοῖσι,Dat12.
1.101.t10,δ',
1.101.t11,ἀνέστη,Aor2.
1.102.t1,ἥρως,Agr.
1.102.t2,Ἀτρεΐδης,Agr.
1.102.t3,εὐρὺ,Acc6.
1.102.t4,κρείων,Agr.
1.102.t5,Ἀγαμέμνων,Nom1.
1.103.t1,ἀχνύμενος,Pres6.
1.103.t2,μένεος,Gen5.
1.103.t3,δὲ,
1.103.t4,μέγα,Acc8.
1.103.t5,φρένες,Nom1.
1.103.t6,ἀμφιμέλαιναι,Agr.
1.104.t1,πίμπλαντ',Impf1.;Mid.
1.104.t2,ὄσσε,Nom1.
1.104.t3,δέ,
1.104.t4,οἱ,Dat2.
1.104.t5,πυρὶ,Dat1.
1.104.t6,λαμπετόωντι,Pres6.
1.104.t7,ἐΐκτην,Pluperf.
1.105.t1,Κάλχαντα,Acc1.
1.105.t2,πρώτιστα,Acc8.
1.105.t3,κάκ',Acc8.
1.105.t4,ὀσσόμενος,Pres6.;Partic.;Mid.
1.105.t5,προσέειπε,Aor2.
1.106.t1,μάντι,Voc1.
1.106.t2,κακῶν,Gen8.
1.106.t3,οὐ,
1.106.t4,πώ,
1.106.t5,ποτέ,
1.106.t6,μοι,Dat1.
1.106.t7,τὸ,Agr.
1.106.t8,κρήγυον,Acc1.
1.106.t9,εἶπας,Aor.
1.107.t1,αἰεί,
1.107.t2,τοι,Dat14.
1.107.t3,τὰ,Agr.
1.107.t4,κάκ',Nom1.
1.107.t5,ἐστὶ,Pres.
1.107.t6,φίλα,Nom2.
1.107.t7,φρεσὶ,Dat12.
1.107.t8,μαντεύεσθαι,Pres6.;Infin.;Mid6.
1.108.t1,ἐσθλὸν,Agr.
1.108.t2,δ',
1.108.t3,οὔτέ,
1.108.t4,τί,Agr.
1.108.t5,πω,
1.108.t6,εἶπας,Aor.
1.108.t7,ἔπος,Acc1.
1.108.t8,οὔ,
1.108.t9,ἐτέλεσσας,Aor.
1.109.t1,καὶ,
1.109.t2,νῦν,
1.109.t3,ἐν,Prep3.
1.109.t4,Δαναοῖσι,GBP.
1.109.t5,θεοπροπέων,Pres6.;Partic.
1.109.t6,ἀγορεύεις,Pres6.
1.110.t1,ὡς,
1.110.t2,δὴ,
1.110.t3,τοῦδ',GBP.
1.110.t4,ἕνεκά,Prep1.
1.110.t5,σφιν,
1.110.t6,ἑκηβόλος,Nom1.
1.110.t7,ἄλγεα,Acc1.
1.110.t8,τεύχει,Pres6.
1.111.t1,οὕνεκ',
1.111.t2,ἐγὼ,Nom1.
1.111.t3,κούρης,Gen1.
1.111.t4,Χρυσηΐδος,Agr.
1.111.t5,ἀγλά',Agr.
1.111.t6,ἄποινα,Acc1.
1.112.t1,οὐκ,
1.112.t2,ἔθελον,Impf1.
1.112.t3,δέξασθαι,Aor12.;Inf2.;Mid1.
1.112.t4,ἐπεὶ,
1.112.t5,πολὺ,Acc8.
1.112.t6,βούλομαι,Pres.;Mid.
1.112.t7,αὐτὴν,Acc1.
1.113.t1,οἴκοι,
1.113.t2,ἔχειν,
1.113.t3,καὶ,
1.113.t4,γάρ,
1.113.t5,ῥα,
1.113.t6,Κλυταιμνήστρης,Gen10.
1.113.t7,προβέβουλα,Perf.
1.114.t1,κουριδίης,Agr.
1.114.t2,ἀλόχου,Gen10.
1.114.t3,ἐπεὶ,
1.114.t4,οὔ,
1.114.t5,ἑθέν,Gen13.
1.114.t6,ἐστι,Pres.
1.114.t7,χερείων,Nom2.
1.115.t1,οὐ,
1.115.t2,δέμας,Acc4.
1.115.t3,οὐ,
1.115.t4,φυήν,Acc4.
1.115.t5,οὔ,
1.115.t6,ἂρ,
1.115.t7,φρένας,Acc4.
1.115.t8,οὔτέ,
1.115.t9,τι,Agr.
1.115.t10,ἔργα,Acc4.
1.116.t1,ἀλλὰ,
1.116.t2,καὶ,
1.116.t3,ὧς,
1.116.t4,ἐθέλω,Pres6.
1.116.t5,δόμεναι,Aor12.;Infin.
1.116.t6,πάλιν,
1.116.t7,εἰ,
1.116.t8,τό,Nom1.
1.116.t9,γ',
1.116.t10,ἄμεινον,Nom2.
1.117.t1,βούλομ',Pres.;Mid.
1.117.t2,ἐγὼ,Nom1.
1.117.t3,λαὸν,Acc3.
1.117.t4,σῶν,Acc10.
1.117.t5,ἔμμεναι,Pres6.;Inf2.
1.117.t6,ἢ,
1.117.t7,ἀπολέσθαι,Aor12.;Inf2.;Mid.
1.118.t1,αὐτὰρ,
1.118.t2,ἐμοὶ,Dat1.
1.118.t3,γέρας,Acc1.
1.118.t4,αὐτίχ',
1.118.t5,ἑτοιμάσατ',Aor12.;Impr1.
1.118.t6,ὄφρα,
1.118.t7,μὴ,
1.118.t8,οἶος,Agr.
1.119.t1,Ἀργείων,Gen2.
1.119.t2,ἀγέραστος,Nom2.
1.119.t3,ἔω,Pres6.;Subj.
1.119.t4,ἐπεὶ,
1.119.t5,οὐ,
1.119.t6,ἔοικε,Perf.
1.120.t1,λεύσσετε,Pres6.
1.120.t2,γὰρ,
1.120.t3,τό,Acc1.
1.120.t4,γε,
1.120.t5,πάντες,Nom1.
1.120.t6,ὅ,Agr..
1.120.t7,μοι,Dat3.
1.120.t8,γέρας,Nom1.
1.120.t9,ἔρχεται,Pres6.;Mid.
1.120.t10,ἄλλῃ,
1.121.t1,τὸν,Acc1.
1.121.t2,δ',
1.121.t3,ἠμείβετ',Impf1.;Mid6.
1.121.t4,ἔπειτα,
1.121.t5,ποδάρκης,Agr.
1.121.t6,δῖος,Agr.
1.121.t7,Ἀχιλλεύς,Nom1.
1.122.t1,Ἀτρεΐδη,Voc1.
1.122.t2,κύδιστε,Agr.
1.122.t3,φιλοκτεανώτατε,Agr.
1.122.t4,πάντων,Gen2.
1.123.t1,πῶς,
1.123.t2,γάρ,
1.123.t3,τοι,Dat1.
1.123.t4,δώσουσι,Fut4.
1.123.t5,γέρας,Acc1.
1.123.t6,μεγάθυμοι,Agr.
1.123.t7,Ἀχαιοί,Nom1.
1.124.t1,οὐ,
1.124.t2,τί,Acc8.
1.124.t3,που,
1.124.t4,ἴδμεν,Perf.
1.124.t5,ξυνήϊα,Acc1.
1.124.t6,κείμενα,Agr.
1.124.t7,πολλά,Agr.
1.125.t1,ἀλλὰ,
1.125.t2,τὰ,Acc1.
1.125.t3,μὲν,
1.125.t4,πολίων,Gen10.
1.125.t5,ἐξεπράθομεν,Aor2.
1.125.t6,τὰ,Nom1.
1.125.t7,δέδασται,Perf.;Mid1.
1.126.t1,λαοὺς,Acc3.
1.126.t2,δ',
1.126.t3,οὐκ,
1.126.t4,ἐπέοικε,Perf.
1.126.t5,παλίλλογα,Acc1.
1.126.t6,ταῦτ',Agr.
1.126.t7,ἐπαγείρειν,Pres6.;Inf1.
1.127.t1,ἀλλὰ,
1.127.t2,σὺ,Nom1.
1.127.t3,μὲν,
1.127.t4,νῦν,
1.127.t5,τήνδε,Acc1.
1.127.t6,θεῷ,Dat1.
1.127.t7,πρόες,Aor12.;Impr1.
1.127.t8,αὐτὰρ,
1.127.t9,Ἀχαιοὶ,Nom1.
1.128.t1,τριπλῇ,Dat7.
1.128.t2,τετραπλῇ,Dat7.
1.128.t3,τ',
1.128.t4,ἀποτείσομεν,Fut.
1.128.t5,αἴ,
1.128.t6,κέ,
1.128.t7,ποθι,
1.128.t8,Ζεὺς,Nom1.
1.129.t1,δῷσι,Aor12.;Subj.
1.129.t2,πόλιν,Acc1.
1.129.t3,Τροίην,Agr.
1.129.t4,εὐτείχεον,Agr.
1.129.t5,ἐξαλαπάξαι,Inf2.
1.130.t1,τὸν,Acc1.
1.130.t2,δ',
1.130.t3,ἀπαμειβόμενος,Pres6.;Partic.;Mid.
1.130.t4,προσέφη,Impf1.
1.130.t5,κρείων,Agr.
1.130.t6,Ἀγαμέμνων,Nom1.
1.131.t1,μὴ,
1.131.t2,δ',
1.131.t3,οὕτως,
1.131.t4,ἀγαθός,Nom2.
1.131.t5,περ,
1.131.t6,ἐὼν,Pres6.;Partic.
1.131.t7,θεοείκελ',Agr.
1.131.t8,Ἀχιλλεῦ,Voc1.
1.132.t1,κλέπτε,Pres6.;Imper.
1.132.t2,νόῳ,Dat12.
1.132.t3,ἐπεὶ,
1.132.t4,οὐ,
1.132.t5,παρελεύσεαι,Fut.;Mid.
1.132.t6,οὐ,
1.132.t7,με,Acc1.
1.132.t8,πείσεις,Fut.
1.133.t1,ἦ,
1.133.t2,ἐθέλεις,Pres6.
1.133.t3,ὄφρ',
1.133.t4,αὐτὸς,Nom1.
1.133.t5,ἔχῃς,Pres6.;Subj.
1.133.t6,γέρας,Acc1.
1.133.t7,αὐτὰρ,
1.133.t8,ἔμ',Acc3.
1.133.t9,αὔτως,
1.134.t1,ἧσθαι,Perf.;Inf2.;Mid.
1.134.t2,δευόμενον,Agr.
1.134.t3,κέλεαι,Pres6.;Mid.
1.134.t4,δέ,
1.134.t5,με,Acc3.
1.134.t6,τήνδ',Acc1.
1.134.t7,ἀποδοῦναι,Aor.;Inf.
1.135.t1,ἀλλ',
1.135.t2,εἰ,
1.135.t3,μὲν,
1.135.t4,δώσουσι,Fut.
1.135.t5,γέρας,Acc1.
1.135.t6,μεγάθυμοι,Agr.
1.135.t7,Ἀχαιοὶ,Nom1.
1.136.t1,ἄρσαντες,Aor12.;Partic.
1.136.t2,κατὰ,Prep3.
1.136.t3,θυμὸν,GBP.
1.136.t4,ὅπως,
1.136.t5,ἀντάξιον,Nom2.
1.136.t6,ἔσται,Fut.;Mid.
1.137.t1,εἰ,
1.137.t2,δέ,
1.137.t3,κε,
1.137.t4,μὴ,
1.137.t5,δώωσιν,Aor12.;Subj.
1.137.t6,ἐγὼ,Nom1.
1.137.t7,δέ,
1.137.t8,κεν,
1.137.t9,αὐτὸς,Agr.
1.137.t10,ἕλωμαι,Aor12.;Subj.;Mid.
1.138.t1,ἢ,
1.138.t2,τεὸν,Agr.
1.138.t3,ἢ,
1.138.t4,Αἴαντος,Gen1.
1.138.t5,ἰὼν,Pres.;Partic.
1.138.t6,γέρας,Acc1.
1.138.t7,ἢ,
1.138.t8,Ὀδυσῆος,Gen1.
1.139.t1,ἄξω,Fut.
1.139.t2,ἑλών,Aor12.;Partic.
1.139.t3,ὃ,Nom1.
1.139.t4,δέ,
1.139.t5,κεν,
1.139.t6,κεχολώσεται,Perf.;Mid.
1.139.t7,ὅν,Acc1.
1.139.t8,κεν,
1.139.t9,ἵκωμαι,Aor12.;Subj.;Mid.
1.140.t1,ἀλλ',
1.140.t2,ἤτοι,
1.140.t3,μὲν,
1.140.t4,ταῦτα,Acc1.
1.140.t5,μεταφρασόμεσθα,Fut.;Mid6.
1.140.t6,καὶ,
1.140.t7,αὖτις,
1.141.t1,νῦν,
1.141.t2,δ',
1.141.t3,ἄγε,
1.141.t4,νῆα,Acc1.
1.141.t5,μέλαιναν,Agr.
1.141.t6,ἐρύσσομεν,Aor12.;Subj.
1.141.t7,εἰς,Prep3.
1.141.t8,ἅλα,GBP.
1.141.t9,δῖαν,Agr.
1.142.t1,ἐν,
1.142.t2,δ',
1.142.t3,ἐρέτας,Acc1.
1.142.t4,ἐπιτηδὲς,
1.142.t5,ἀγείρομεν,Aor12.;Subj.
1.142.t6,ἐς,
1.142.t7,δ',
1.142.t8,ἑκατόμβην,Acc1.
1.143.t1,θείομεν,Aor12.;Subj.
1.143.t2,ἂν,
1.143.t3,δ',
1.143.t4,αὐτὴν,Agr.
1.143.t5,Χρυσηΐδα,Acc1.
1.143.t6,καλλιπάρῃον,Agr.
1.144.t1,βήσομεν,Aor12.;Subj.
1.144.t2,εἷς,Agr.
1.144.t3,δέ,
1.144.t4,τις,Agr.
1.144.t5,ἀρχὸς,Nom1.
1.144.t6,ἀνὴρ,Nom2.
1.144.t7,βουληφόρος,Agr.
1.144.t8,ἔστω,Pres6.;Impr1.
1.145.t1,ἢ,
1.145.t2,Αἴας,Nom1.
1.145.t3,ἢ,
1.145.t4,Ἰδομενεὺς,Nom1.
1.145.t5,ἢ,
1.145.t6,δῖος,Agr.
1.145.t7,Ὀδυσσεὺς,Nom1.
1.146.t1,ἠὲ,
1.146.t2,σὺ,Nom1.
1.146.t3,Πηλεΐδη,Voc1.
1.146.t4,πάντων,Agr.
1.146.t5,ἐκπαγλότατ',Agr.
1.146.t6,ἀνδρῶν,Gen13.
1.147.t1,ὄφρ',
1.147.t2,ἥμιν,Dat1.
1.147.t3,ἑκάεργον,Acc1.
1.147.t4,ἱλάσσεαι,Aor12.;Subj.;Mid.
1.147.t5,ἱερὰ,Acc1.
1.147.t6,ῥέξας,Aor12.;Partic.
1.148.t1,τὸν,Acc1.
1.148.t2,δ',
1.148.t3,ἄρ',
1.148.t4,ὑπόδρα,
1.148.t5,ἰδὼν,Aor12.;Partic.
1.148.t6,προσέφη,Impf1.
1.148.t7,πόδας,Acc4.
1.148.t8,ὠκὺς,Agr.
1.148.t9,Ἀχιλλεύς,Nom1.
1.149.t1,ὤ,
1.149.t2,μοι,Dat3.
1.149.t3,ἀναιδείην,Acc1.
1.149.t4,ἐπιειμένε,Perf.;Partic.
1.149.t5,κερδαλεόφρον,Voc1.
1.150.t1,πῶς,
1.150.t2,τίς,Nom1.
1.150.t3,τοι,Dat2.
1.150.t4,πρόφρων,
1.150.t5,ἔπεσιν,Dat1.
1.150.t6,πείθηται,Pres.;Subj.;Mid.
1.150.t7,Ἀχαιῶν,Gen2.
1.151.t1,ἢ,
1.151.t2,ὁδὸν,Acc1.
1.151.t3,ἐλθέμεναι,Aor.;Infin.
1.151.t4,ἢ,
1.151.t5,ἀνδράσιν,Dat1.
1.151.t6,ἶφι,
1.151.t7,μάχεσθαι,Pres6.;Infin.;Mid6.
1.152.t1,οὐ,
1.152.t2,γὰρ,
1.152.t3,ἐγὼ,Nom1.
1.152.t4,Τρώων,Agr.
1.152.t5,ἕνεκ',Prep.
1.152.t6,ἤλυθον,Aor2.
1.152.t7,αἰχμητάων,GBP.
1.153.t1,δεῦρο,
1.153.t2,μαχησόμενος,Fut.;Partic.;Mid6.
1.153.t3,ἐπεὶ,
1.153.t4,οὔ,
1.153.t5,τί,Acc8.
1.153.t6,μοι,Dat14.
1.153.t7,αἴτιοί,Nom2.
1.153.t8,εἰσιν,Pres6.
1.154.t1,οὐ,
1.154.t2,γὰρ,
1.154.t3,πώποτ',
1.154.t4,ἐμὰς,Agr.
1.154.t5,βοῦς,Acc1.
1.154.t6,ἤλασαν,Aor.
1.154.t7,οὐ,
1.154.t8,μὲν,
1.154.t9,ἵππους,Acc1.
1.155.t1,οὐ,
1.155.t2,ποτ',
1.155.t3,ἐν,Prep3.
1.155.t4,Φθίῃ,GBP.
1.155.t5,ἐριβώλακι,Agr.
1.155.t6,βωτιανείρῃ,Agr.
1.156.t1,καρπὸν,Acc1.
1.156.t2,ἐδηλήσαντ',Aor.;Mid.
1.156.t3,ἐπεὶ,
1.156.t4,ἦ,
1.156.t5,μάλα,
1.156.t6,πολλὰ,Nom1.
1.156.t7,μεταξὺ,
1.157.t1,οὔρεά,Nom1.
1.157.t2,τε,
1.157.t3,σκιόεντα,Agr.
1.157.t4,θάλασσά,Nom1.
1.157.t5,τε,
1.157.t6,ἠχήεσσα,Agr.
1.158.t1,ἀλλὰ,
1.158.t2,σοὶ,Dat1.
1.158.t3,ὦ,
1.158.t4,μέγ',Acc8.
1.158.t5,ἀναιδὲς,Voc1.
1.158.t6,ἅμ',
1.158.t7,ἑσπόμεθ',Aor.;Mid.
1.158.t8,ὄφρα,
1.158.t9,σὺ,Nom1.
1.158.t10,χαίρῃς,Pres6.;Subj.
1.159.t1,τιμὴν,Acc1.
1.159.t2,ἀρνύμενοι,Pres6.;Partic.;Mid.
1.159.t3,Μενελάῳ,Dat3.
1.159.t4,σοί,Dat3.
1.159.t5,τε,
1.159.t6,κυνῶπα,Voc1.
1.160.t1,πρὸς,Prep1.
1.160.t2,Τρώων,GBP.
1.160.t3,τῶν,Gen10.
1.160.t4,οὔ,
1.160.t5,τι,Acc4.
1.160.t6,μετατρέπῃ,Pres.;Mid.
1.160.t7,οὐ,
1.160.t8,ἀλεγίζεις,Pres6.
1.161.t1,καὶ,
1.161.t2,δή,
1.161.t3,μοι,Dat2.
1.161.t4,γέρας,Acc1.
1.161.t5,αὐτὸς,Nom1.
1.161.t6,ἀφαιρήσεσθαι,Fut.;Infin.;Mid1.
1.161.t7,ἀπειλεῖς,Pres6.
1.162.t1,ᾧ,GBP.
1.162.t2,ἔπι,Prep.
1.162.t3,πολλὰ,Acc8.
1.162.t4,μόγησα,Aor.
1.162.t5,δόσαν,Aor2.
1.162.t6,δέ,
1.162.t7,μοι,Dat1.
1.162.t8,υἷες,Nom1.
1.162.t9,Ἀχαιῶν,Gen2.
1.163.t1,οὐ,
1.163.t2,μὲν,
1.163.t3,σοί,Dat2.
1.163.t4,ποτε,
1.163.t5,ἶσον,Acc8.
1.163.t6,ἔχω,Pres4.
1.163.t7,γέρας,Acc1.
1.163.t8,ὁππότ',
1.163.t9,Ἀχαιοὶ,Nom1.
1.164.t1,Τρώων,Gen1.
1.164.t2,ἐκπέρσωσ',Aor12.;Subj.
1.164.t3,εὖ,
1.164.t4,ναιόμενον,Agr.
1.164.t5,πτολίεθρον,Acc1.
1.165.t1,ἀλλὰ,
1.165.t2,τὸ,Agr.
1.165.t3,μὲν,
1.165.t4,πλεῖον,Acc1.
1.165.t5,πολυάϊκος,
1.165.t6,πολέμοιο,Gen11.
1.166.t1,χεῖρες,Nom1.
1.166.t2,ἐμαὶ,Agr.
1.166.t3,διέπουσ',Pres6.
1.166.t4,ἀτὰρ,
1.166.t5,ἤν,
1.166.t6,ποτε,
1.166.t7,δασμὸς,Nom1.
1.166.t8,ἵκηται,Aor12.;Subj.;Mid.
1.167.t1,σοὶ,Dat2.
1.167.t2,τὸ,Agr.
1.167.t3,γέρας,Nom1.
1.167.t4,πολὺ,Acc8.
1.167.t5,μεῖζον,Nom2.
1.167.t6,ἐγὼ,Nom1.
1.167.t7,δ',
1.167.t8,ὀλίγον,Acc8.
1.167.t9,τε,
1.167.t10,φίλον,Acc8.
1.167.t11,τε,
1.168.t1,ἔρχομ',Pres6.;Mid.
1.168.t2,ἔχων,Pres6.;Partic.
1.168.t3,ἐπὶ,Prep3.
1.168.t4,νῆας,GBP.
1.168.t5,ἐπεί,
1.168.t6,κε,
1.168.t7,κάμω,Aor12.;Subj.
1.168.t8,πολεμίζων,Pres6.;Partic.
1.169.t1,νῦν,
1.169.t2,δ',
1.169.t3,εἶμι,Pres4.
1.169.t4,Φθίην,Acc7.
1.169.t5,δ',
1.169.t6,ἐπεὶ,
1.169.t7,ἦ,
1.169.t8,πολὺ,Acc8.
1.169.t9,φέρτερόν,Nom2.
1.169.t10,ἐστιν,Pres.
1.170.t1,οἴκαδ',
1.170.t2,ἴμεν,
1.170.t3,σὺν,Prep1.
1.170.t4,νηυσὶ,GBP.
1.170.t5,κορωνίσιν,Agr.
1.170.t6,οὐ,
1.170.t7,σ',Dat3.
1.170.t8,ὀΐω,Pres6.
1.171.t1,ἐνθάδ',
1.171.t2,ἄτιμος,Nom2.
1.171.t3,ἐὼν,Pres6.;Partic.
1.171.t4,ἄφενος,Acc1.
1.171.t5,καὶ,
1.171.t6,πλοῦτον,Acc1.
1.171.t7,ἀφύξειν,Perf.;Infin.
1.172.t1,τὸν,Acc1.
1.172.t2,δ',
1.172.t3,ἠμείβετ',Impf1.;Mid6.
1.172.t4,ἔπειτα,
1.172.t5,ἄναξ,Agr.
1.172.t6,ἀνδρῶν,Gen8.
1.172.t7,Ἀγαμέμνων,Nom1.
1.173.t1,φεῦγε,Pres6.;Impr1.
1.173.t2,μάλ',
1.173.t3,εἴ,
1.173.t4,τοι,Dat2.
1.173.t5,θυμὸς,Nom1.
1.173.t6,ἐπέσσυται,Pres6.;Mid.
1.173.t7,οὐ,
1.173.t8,σ',Acc1.
1.173.t9,ἔγωγε,Nom1.
1.174.t1,λίσσομαι,Impf1.;Mid.
1.174.t2,εἵνεκ',Prep1.
1.174.t3,ἐμεῖο,GBP.
1.174.t4,μένειν,Pres6.
1.174.t5,πάρ',Prep3.
1.174.t6,ἔμοιγε,GBP.
1.174.t7,καὶ,
1.174.t8,ἄλλοι,Nom1.
1.175.t1,οἵ,Nom1.
1.175.t2,κέ,
1.175.t3,με,Acc1.
1.175.t4,τιμήσουσι,Aor12.;Subj.
1.175.t5,μάλιστα,
1.175.t6,δὲ,
1.175.t7,μητίετα,Agr.
1.175.t8,Ζεύς,Nom1.
1.176.t1,ἔχθιστος,Nom2.
1.176.t2,δέ,
1.176.t3,μοί,Dat14.
1.176.t4,ἐσσι,Pres6.
1.176.t5,διοτρεφέων,Agr.
1.176.t6,βασιλήων,Gen13.
1.177.t1,αἰεὶ,
1.177.t2,γάρ,
1.177.t3,τοι,Dat14.
1.177.t4,ἔρις,Nom1.
1.177.t5,τε,
1.177.t6,φίλη,Nom2.
1.177.t7,πόλεμοί,Nom1.
1.177.t8,τε,
1.177.t9,μάχαι,Nom1.
1.177.t10,τε,
1.178.t1,εἰ,
1.178.t2,μάλα,
1.178.t3,καρτερός,Nom2.
1.178.t4,ἐσσι,Pres6.
1.178.t5,θεός,Nom1.
1.178.t6,που,
1.178.t7,σοὶ,Dat1.
1.178.t8,τό,Acc1.
1.178.t9,γ',
1.178.t10,ἔδωκεν,Aor.
1.179.t1,οἴκαδ',
1.179.t2,ἰὼν,Pres6.;Partic.
1.179.t3,σὺν,Prep1.
1.179.t4,νηυσί,GBP.
1.179.t5,τε,
1.179.t6,σῇς,Agr.
1.179.t7,καὶ,
1.179.t8,σοῖς,Agr.
1.179.t9,ἑτάροισι,GBP.
1.180.t1,Μυρμιδόνεσσιν,Dat1.
1.180.t2,ἄνασσε,Pres6.;Impr1.
1.180.t3,σέθεν,Gen10.
1.180.t4,δ',
1.180.t5,ἐγὼ,Nom1.
1.180.t6,οὐκ,
1.180.t7,ἀλεγίζω,Pres6.
1.181.t1,οὐ,
1.181.t2,ὄθομαι,Pres6.;Mid.
1.181.t3,κοτέοντος,Gen10.
1.181.t4,ἀπειλήσω,Fut.
1.181.t5,δέ,
1.181.t6,τοι,Dat1.
1.181.t7,ὧδε,
1.182.t1,ὡς,
1.182.t2,ἔμ',Acc10.
1.182.t3,ἀφαιρεῖται,Pres6.;Mid1.
1.182.t4,Χρυσηΐδα,Acc1.
1.182.t5,Φοῖβος,Agr.
1.182.t6,Ἀπόλλων,Nom1.
1.183.t1,τὴν,Acc1.
1.183.t2,μὲν,
1.183.t3,ἐγὼ,Nom1.
1.183.t4,σὺν,Prep1.
1.183.t5,νηΐ,GBP.
1.183.t6,τ',
1.183.t7,ἐμῇ,Agr.
1.183.t8,καὶ,
1.183.t9,ἐμοῖς,Agr.
1.183.t10,ἑτάροισι,GBP.
1.184.t1,πέμψω,Fut.
1.184.t2,ἐγὼ,Nom1.
1.184.t3,δέ,
1.184.t4,κ',
1.184.t5,ἄγω,Pres6.;Subj.
1.184.t6,Βρισηΐδα,Acc1.
1.184.t7,καλλιπάρῃον,Agr.
1.185.t1,αὐτὸς,Nom1.
1.185.t2,ἰὼν,Pres6.;Partic.;Mid.
1.185.t3,κλισίην,Acc7.
1.185.t4,δὲ,
1.185.t5,τὸ,Agr.
1.185.t6,σὸν,Agr.
1.185.t7,γέρας,Acc1.
1.185.t8,ὄφρ',
1.185.t9,ἐῢ,
1.185.t10,εἰδῇς,Perf.;Subj.
1.186.t1,ὅσσον,Acc8.
1.186.t2,φέρτερός,Nom2.
1.186.t3,εἰμι,Pres6.
1.186.t4,σέθεν,Gen13.
1.186.t5,στυγέῃ,Pres6.;Subj.
1.186.t6,δὲ,
1.186.t7,καὶ,
1.186.t8,ἄλλος,Nom1.
1.187.t1,ἶσον,Acc8.
1.187.t2,ἐμοὶ,Dat7.
1.187.t3,φάσθαι,Pres6.;Infin.;Mid.
1.187.t4,καὶ,
1.187.t5,ὁμοιωθήμεναι,Aor12.;Infin.
1.187.t6,ἄντην,
1.188.t1,ὣς,
1.188.t2,φάτο,Aor2.;Mid6.
1.188.t3,Πηλεΐωνι,Dat1.
1.188.t4,δ',
1.188.t5,ἄχος,Nom1.
1.188.t6,γένετ',Aor2.;Mid.
1.188.t7,ἐν,Prep3.
1.188.t8,δέ,
1.188.t9,οἱ,Dat2.
1.188.t10,ἦτορ,Nom1.
1.189.t1,στήθεσσιν,Dat12.
1.189.t2,λασίοισι,Agr.
1.189.t3,διάνδιχα,
1.189.t4,μερμήριξεν,Aor2.
1.190.t1,ἢ,
1.190.t2,ὅ,Nom1.
1.190.t3,γε,
1.190.t4,φάσγανον,Acc1.
1.190.t5,ὀξὺ,Agr.
1.190.t6,ἐρυσσάμενος,Aor12.;Partic.;Mid1.
1.190.t7,παρὰ,Prep3.
1.190.t8,μηροῦ,GBP.
1.191.t1,τοὺς,Acc1.
1.191.t2,μὲν,
1.191.t3,ἀναστήσειεν,Aor12.
1.191.t4,ὃ,Nom1.
1.191.t5,δ',
1.191.t6,Ἀτρεΐδην,Acc1.
1.191.t7,ἐναρίζοι,
1.192.t1,ἦε,
1.192.t2,χόλον,Acc1.
1.192.t3,παύσειεν,Aor12.
1.192.t4,ἐρητύσειέ,Aor12.
1.192.t5,τε,
1.192.t6,θυμόν,Acc1.
1.193.t1,ἧος,
1.193.t2,ὃ,Nom1.
1.193.t3,ταῦθ',Acc1.
1.193.t4,ὥρμαινε,Impf1.
1.193.t5,κατὰ,Prep3.
1.193.t6,φρένα,GBP.
1.193.t7,καὶ,
1.193.t8,κατὰ,Prep3.
1.193.t9,θυμόν,GBP.
1.194.t1,ἕλκετο,Impf1.;Mid1.
1.194.t2,δ',
1.194.t3,ἐκ,Prep3.
1.194.t4,κολεοῖο,GBP.
1.194.t5,μέγα,Agr.
1.194.t6,ξίφος,Acc1.
1.194.t7,ἦλθε,Aor2.
1.194.t8,δ',
1.194.t9,Ἀθήνη,Nom1.
1.195.t1,οὐρανόθεν,
1.195.t2,πρὸ,
1.195.t3,γὰρ,
1.195.t4,ἧκε,Aor2.
1.195.t5,θεὰ,Agr.
1.195.t6,λευκώλενος,Agr.
1.195.t7,Ἥρη,Nom1.
1.196.t1,ἄμφω,Acc1.
1.196.t2,ὁμῶς,
1.196.t3,θυμῷ,Dat12.
1.196.t4,φιλέουσά,Pres6.;Partic.
1.196.t5,τε,
1.196.t6,κηδομένη,Pres6.;Partic.;Mid.
1.196.t7,τε,
1.197.t1,στῆ,Aor2.
1.197.t2,δ',
1.197.t3,ὄπιθεν,
1.197.t4,ξανθῆς,Agr.
1.197.t5,δὲ,
1.197.t6,κόμης,Gen2.
1.197.t7,ἕλε,Aor2.
