ἀμφιμέλαιναι,ἀμφιμέλας,a-p---fn-,سراسر سیاه,Ref=1.103
ἄμφω,ἄμφω,a-d---ma-,هر دو ,Ref=1.196
κ',ἄν,g--------,ادات وجهی,Ref=1.580
ἀνὰ,ἀνά,r--------,بر، در,Ref=1.570
ἀναβάντες,ἀναβαίνω,v-papamn-,بالا رفتن,Ref=1.312
ἀνάγοντο,ἀνάγω,v3piie---,رفتن، رهسپار گشتن,Ref=1.478
ἀνέδυ,ἀναδύνω,v3saia---,برآمدن,Ref=1.359
ἀναθηλήσει,ἀναθηλέω,v3sfia---,جوانه زدن,Ref=1.236|SpaceAfter=No
ἀναιδείην,ἀναίδεια,n-s---fa-,بی‌شرمی,Ref=1.149
ἀναιδὲς,ἀναιδής,a-s---mv-,بی‌شرم,Ref=1.158
ἀνελὼν,ἀναιρέω,v-sapamn-,بالا گرفتن، بالا بردن,Ref=1.301
ἀναΐξας,ἀναίσσω,v-sapamn-,بالا رفتن,Ref=1.584
ἄναξ,ἄναξ,n-s---mn-,شهریار,Ref=1.7
ἀνάποινον,ἀνάποινος,a-s---fa-,بی‌جان‌بها,Ref=1.99|SpaceAfter=No
ἀνάσσεις,ἀνάσσω,v2spia---,شهریاری کردن,Ref=1.38|SpaceAfter=No
ἀναφαίνεις,ἀναφαίνω,v2spia---,آشکار ساختن,Ref=1.87|SpaceAfter=No
ἥνδανε,ἁνδάνω,v3siia---,خشنود بودن,Ref=1.24
ἀνδροφόνοιο,ἀνδροφόνος,a-s---mg-,خونخوار,Ref=1.242
ἀνεκτά,ἀνεκτός,a-p---nn-,تحمل‌ناپذیر,Ref=1.573|SpaceAfter=No
ἄνεμος,ἄνεμος,n-s---mn-,باد,Ref=1.481
ἀνασχών,ἀνέχω,v-sapamn-,بالا بردن، خود را حفظ کردن,Ref=1.450|SpaceAfter=No
ἀνδρῶν,ἀνήρ,n-p---mg-,مرد,Ref=1.7
ἀνθερεῶνος,ἀνθερεών,n-s---mg-,چانه‌,Ref=1.501
ἀνθρώπων,ἄνθρωπος,n-p---mg-,آدم,Ref=1.250
ἀνιστάμενος,ἀνίστημι,v-sppemn-,برخاستن,Ref=1.58
ἀντάξιον,ἀντάξιος,a-s---nn-,هم‌ارزش,Ref=1.136
ἄντην,ἄντην,d--------,علیه، در مقابل,Ref=1.187|SpaceAfter=No
ἀντιόωσαν,ἀντιάω,v-sppafa-,دیدن، به دیدار رفتن,Ref=1.31|SpaceAfter=No
ἀντιβίην,ἀντιβίην,d--------,در برابر,Ref=1.278|SpaceAfter=No
ἀντιβίοισι,ἀντίβιος,a-p---nd-,ناسزاوار,Ref=1.304
ἀντίθεον,ἀντίθεος,a-s---ma-,خدای‌وار,Ref=1.264
ἀντίον,ἀντίον,n-s---na-,در برابر,Ref=1.230
ἀντίοι,ἀντίος,a-p---mn-,مقابل، در برابر,Ref=1.535
ἀντιφέρεσθαι,ἀντιφέρω,v--pne---,رو در رو شدن,Ref=1.589|SpaceAfter=No
ἄνωγεν,ἄνωγα,v3sria---,فرمان دادن,Ref=1.313|SpaceAfter=No
ἀποαίρεο,ἀπαίρω,v2spme---,گرفتن، بردن,Ref=1.275
ἀπαμειβόμενος,ἀπαμείβομαι,v-sppemn-,پاسخ دادن,Ref=1.84
ἀπάνευθε,ἀπάνευθε,d--------,دور از، سوی دوردست‌ها,Ref=1.35
ἅπαντες,ἅπας,a-p---mn-,همگی,Ref=1.535|SpaceAfter=No
ἀπατηλὸν,ἀπατηλός,a-s---nn-,دروغین,Ref=1.526
ἀπούρας,ἀπαυράω,v-sapamn-,بردن، گرفتن ,Ref=1.356|SpaceAfter=No
ἀπειλεῖς,ἀπειλέω,v2spia---,تهدید کردن، اخطار دادن,Ref=1.161|SpaceAfter=No
ἀπόειπ',ἀπεῖπον,v2sama---,نپذیرفتن، رد کردن,Ref=1.515|SpaceAfter=No
ἀπείρονα,ἀπείρων,a-s---ma-,بی‌پایان,Ref=1.350
ἀπερείσι',ἀπερείσιος,a-p---na-,بی‌اندازه,Ref=1.13
ἀπήμων,ἀπήμων,a-s---mn-,بی اندوه,Ref=1.415
ἀπηνέος,ἀπηνής,a-s---mg-,بی‌رحم,Ref=1.340
ἀπίθησε,ἀπιθέω,v3saia---, نافرمانی کردن,Ref=1.220
ἀπίης,ἄπιος,a-s---fg-,دور,Ref=1.270
ἀπὸ,ἀπό,r--------,از، به,Ref=1.67
ἀπεβήσετο,ἀποβαίνω,v3saim---,رفتن، دور شدن,Ref=1.428|SpaceAfter=No
ἀπεδέξατ',ἀποδέχομαι,v3saim---,پذیرفتن,Ref=1.95
ἀποδοῦναι,ἀποδίδωμι,v--ana---,وانهادن,Ref=1.134|SpaceAfter=No
ἄποινα,ἄποινα,n-p---na-,جان‌بها,Ref=1.13|SpaceAfter=No
ἀπολέσθαι,ἀπόλλυμι,v--anm---,نابود کردن، نابود گشتن,Ref=1.117|SpaceAfter=No
Ἀπόλλωνος,Ἀπόλλων,n-s---mg-,آپولون,Ref=1.14
ἀπολυμαίνεσθαι,ἀπολυμαίνομαι,v--pne---,(خود را) تطهیر کردن,Ref=1.313
ἀπέλυσε,ἀπολύω,v3saia---,آزاد کردن,Ref=1.95
ἀπονοστήσειν,ἀπονοστέω,v--fna---,به خانه بازگشتن,Ref=1.60|SpaceAfter=No
ἀποπαύεο,ἀποπαύω,v2spme---,حذر کردن,Ref=1.422
ἀπόστιχε,ἀποστείχω,v2sama---,بازگشتن,Ref=1.522
ἀποτείσομεν,ἀποτίνω,v1pfia---,تلافی کردن، جبران کردن,Ref=1.128|SpaceAfter=No
ἀπριάτην,ἀπρίατος,a-s---fa-,بی‌قیمت,Ref=1.99
ἥψατο,ἅπτω,v3saim---,گرفتن,Ref=1.512
ἀπώσει,ἀπωθέω,v3sfia---,کنار  گذاشتن,Ref=1.97
ἄρ,ἄρα,g--------,آنگاه، سپس، همانا,Ref=1.8
