ἐνθάδε,ἐνθάδε,d--------,به اینجا,Ref=1.367
ἐννῆμαρ,ἐννῆμαρ,d--------,  نه روز,Ref=1.53
ἐνῶρτο,ἐνόρνυμι,v3saim---,برآمدن,Ref=1.599
ἐντὸς,ἐντός,r--------,به میان,Ref=1.432
ἔξαγε,ἐξάγω,v2spma---,بیرون آوردن,Ref=1.337
Ἐξάδιόν,Ἐξάδιος,n-s---ma-,اکسادیوس,Ref=1.264
ἐξαλαπάξαι,ἐξαλαπάζω,v--ana---,غارت کردن,Ref=1.129|SpaceAfter=No
ἐξαύδα,ἐξαυδάω,v2spma---,بلند گفتن,Ref=1.363|SpaceAfter=No
ἐξαῦτις,ἐξαῦτις,d--------,دگرباره,Ref=1.223
ἐξερέω,ἐξερέω,v1sfia---,بیان کردن، گفتن,Ref=1.212|SpaceAfter=No
ἑξείης,ἑξῆς,d--------,به ترتیب,Ref=1.448
ἐοικώς,ἔοικα,v-srpamn-,شبیه بودن، مانستن، سزاوار بودن,Ref=1.47|SpaceAfter=No
ἣν,ἑός,a-s---fa-,خویش,Ref=1.72
ἐπαγείρειν,ἐπαγείρω,v--pna---,گرد آوردن,Ref=1.126|SpaceAfter=No
ἐπαίτιοι,ἐπαίτιος,a-p---mn-,مقصر ,Ref=1.335
ἐπηπείλησ',ἐπαπειλέω,v3saia---,تهدید کردن,Ref=1.319
ἐπαρξάμενοι,ἐπάρχω,v-papmmn-,ساغر دادن، حکم‌ راندن,Ref=1.471
ἐπασσύτεροι,ἐπασσύτερος,a-p---mn-,یکی پس از دیگری,Ref=1.383|SpaceAfter=No
ἐπαύρωνται,ἐπαυρέω,v3pasm---, بهره بردن,Ref=1.410
ἐπεὶ,ἐπεί,c--------,هنگامی که، چون,Ref=1.57
ἔπεισιν,ἔπειμι,v3spia---,سر رسیدن,Ref=1.29
ἔπειτ',ἔπειτα,d--------,آنگاه، سپس,Ref=1.35
ἐπιέλπεο,ἐπέλπομαι,v2spme---,امید داشتن,Ref=1.545
ἐπέοικε,ἐπέοικε,v3sria---,سزاوار بودن,Ref=1.126
ἐπερχόμενον,ἐπέρχομαι,v-sppema-,آمدن,Ref=1.535|SpaceAfter=No
ἐπευφήμησαν,ἐπευφημέω,v3paia---,بانگ رضایت برآوردن,Ref=1.22
ἐπὶ,ἐπί,r--------,سوی، بر، با ,Ref=1.12
ἐπιγνάμψασα,ἐπιγνάμπτω,v-sapafn-,خم شدن، چندک زدن,Ref=1.569
ἐπιείκελον,ἐπιείκελος,a-s---ma-,همتا,Ref=1.265
ἐπιεικὲς,ἐπιεικής,a-s---nn-,درخور,Ref=1.547
ἐπιειμένε,ἐπιέννυμι,v-srppmv-,پوشیدن,Ref=1.149
ἐπίηρα,ἐπίηρα,n-p---na-,دلجویی کردن,Ref=1.578
ἐπικρήηνον,ἐπικραίνω,v2sama---,برآورده کردن,Ref=1.455
ἐπιμέμφεται,ἐπιμέμφομαι,v3spie---,شکوه می‌کردن,Ref=1.65
ἐπιπείθεο,ἐπιπείθομαι,v2spme---,اطاعت کردن، فرمان بردن,Ref=1.565
ἐπέπλεον,ἐπιπλέω,v3piia---,در نوردیدن,Ref=1.312
ἐπερρώσαντο,ἐπιρρώομαι,v3paim---,فرو باریدن,Ref=1.529
ἐπέσσυται,ἐπισεύω,v3spie---,رفتن,Ref=1.173|SpaceAfter=No
ἐπεστέψαντο,ἐπιστέφω,v3paim---,پر کردن,Ref=1.470
ἐπιτέλλεο,ἐπιτέλλω,v2spme---,فرمان دادن,Ref=1.295|SpaceAfter=No
ἐπιτηδὲς,ἐπιτηδές,d--------,به کفایت,Ref=1.142
ἐποίσει,ἐπιφέρω,v3sfia---,کوفتن، گذاشتن، زدن,Ref=1.89
ἐπιχθονίων,ἐπιχθόνιος,a-p---mg-,بر زمین، زمینی,Ref=1.266
ἐποιχομένην,ἐποίχομαι,v-sppefa-,تاختن، پیمودن، رج زدن,Ref=1.31
ἕποντο,ἕπομαι,v3piie---,همراه شدن، پیروی کردن,Ref=1.424|SpaceAfter=No
ἔπεσιν,ἔπος,n-p---nd-,سخن,Ref=1.77
ἔργα,ἔργον,n-p---nn-,کار، عمل، کردار,Ref=1.573
ἕρδον,ἔρδω,v3piia---,دادن، گزاردن,Ref=1.315
ἐρέθιζε,ἐρεθίζω,v2spma---,برانگیختن، خشمگین کردن,Ref=1.32
ἐρέθῃσιν,ἐρέθω,v3spsa---,خشمگین کردن,Ref=1.519
ἐρέτας,ἐρέτης,n-p---ma-,پاروزن,Ref=1.309
ἐρετμοῖς,ἐρετμόν,n-p---nd-,پارو,Ref=1.435|SpaceAfter=No
ἔρεψα,ἐρέφω,v1saia---,بام ساختن، سقف زدن,Ref=1.39|SpaceAfter=No
ἐρείομεν,ἐρέω,v1ppsa---,جویا شدن، پرسیدن,Ref=1.62
ἐρητύσειέ,ἐρητύω,v3saoa---,مهار کردن,Ref=1.192
ἐριβώλακι,ἐριβῶλαξ,a-s---fd-,حاصل‌خیز,Ref=1.155
ἐριδαίνετον,ἐριδαίνω,v2dpia---,عناد ورزیدن,Ref=1.574
ἐρίσαντε,ἐρίζω,v-dapamn-,عناد ورزیدن,Ref=1.6
ἔριδος,ἔρις,n-s---fg-,عناد، عنادورزی,Ref=1.319
ἕρκος,ἕρκος,n-s---nn-,حفاظ,Ref=1.284
ἕρματα,ἕρμα,n-p---na-,تیرک‌,Ref=1.486
ἐρέοντο,ἔρομαι,v3piie---,پرسیدن، طلب کردن,Ref=1.332|SpaceAfter=No
ἔρον,ἔρος,n-s---ma-,میل,Ref=1.469
ἐρύσσομεν,ἐρύω,v1pasa---,کشیدن، پاس داشتن,Ref=1.141
ἦλθε,ἔρχομαι,v3saia---,رفتن، آمدن,Ref=1.12
ἐρέω,ἐρῶ,v1sfia---,گفتن,Ref=1.76|SpaceAfter=No
ἐρωήσει,ἐρωέω,v3sfia---,روان شدن، هجوم آوردن,Ref=1.303
ἐσθλὸν,ἐσθλός,a-s---na-,نیکو,Ref=1.108
ἑτάρων,ἑταῖρος,n-p---mg-,هم‌رزم,Ref=1.349
ἑτέρωθεν,ἑτέρωθεν,d--------,از سوی دیگر,Ref=1.247
ἐτήτυμον,ἐτήτυμος,a-s---na-,راست، به راستی,Ref=1.558
ἔτι,ἔτι,d--------,هنوز، همچنان، دگر,Ref=1.96
ἑτοιμάσατ',ἑτοιμάζω,v2pama---,آماده کردن,Ref=1.118
εὖ,εὖ,d--------,نیک، خوب,Ref=1.19
ἐΰδμητον,εὔδμητος,a-s---ma-,نیک‌ساخته,Ref=1.448
ἐϋζώνοιο,εὔζωνος,a-s---fg-,نیک‌اندام,Ref=1.429
εὔκηλος,εὔκηλος,a-s---mn-,آسوده,Ref=1.554
ἐϋκνήμιδες,ἐυκνήμις,a-p---mv-,نیک‌زره‌پوشیده,Ref=1.17
ἠΰκομος,εὔκομος,a-s---fn-,نیک‌گیسو,Ref=1.36
εὐνὰς,εὐνή,n-p---fa-,لنگر، بستر,Ref=1.436
εὗρον,εὑρίσκω,v3paia---,یافتن,Ref=1.329
Εὐρυβάτην,Εὐρυβάτης,n-s---ma-,ائوروباتس,Ref=1.320
εὐρύοπα,εὐρύοπα,a-s---ma-,تیزبین,Ref=1.498
εὐρὺ,εὐρύς,a-s---na-,فراخ، گسترده,Ref=1.102
ἑῆος,ἐύς,a-s----g-,نیکو,Ref=1.393|SpaceAfter=No
εὖτ',εὖτε,c--------,وقتی,Ref=1.242
εὐτείχεον,εὐτείχεος,a-s---fa-,نیک‌دیوارکشیده‌,Ref=1.129
εὐχόμενος,εὔχομαι,v-sppemn-,دعا کردن، مباهات کردن,Ref=1.43|SpaceAfter=No
εὐχωλῆς,εὐχωλή,n-s---fg-,نیایش,Ref=1.65
ἐφετμέων,ἐφετμή,n-p---fg-,درخواست,Ref=1.495
ἐφιεὶς,ἐφίημι,v-sppamn-,فرستادن، انداختن، انگیختن,Ref=1.51
ἐχεπευκὲς,ἐχεπευκής,a-s---na-,بُرنده,Ref=1.51
ἔχθιστος,ἔχθιστος,a-s---mn-,منفورترین,Ref=1.176
ἐχθοδοπῆσαι,ἐχθοδοπέω,v--ana---,جدال کردن,Ref=1.518
ἔχων,ἔχω,v-sppamn-,داشتن، گرفتن,Ref=1.14
ἧος,ἕως,c--------,درحالی‌که,Ref=1.193
ζαθέην,ζάθεος,a-s---fa-,مقدس,Ref=1.38
ζῶντος,ζάω,v-sppamg-,زنده,Ref=1.88
Διὸς,Ζεύς,n-s---mg-,زئوس,Ref=1.5
ἢ,ἤ,c--------,یا، از (با صفات تفضیلی),Ref=1.27
ἦ,ἦ,d--------,به راستی، بی‌شک,Ref=1.77
ἠγαθέῃ,ἠγάθεος,a-s---fd-,مقدس,Ref=1.252|SpaceAfter=No
ἡγήσατ',ἡγέομαι,v3saim---,هدایت کردن,Ref=1.71
ἠδ',ἠδέ,c--------,و، نیز,Ref=1.41
ἤδη,ἤδη,d--------,اینک,Ref=1.590
ἦδος,ἦδος,n-s---nn-,لذت,Ref=1.576|SpaceAfter=No
ἡδυεπὴς,ἡδυεπής,a-s---mn-,خوش‌آوا,Ref=1.248
ἠὲ,ἠέ,c--------,یا,Ref=1.146
ἠέλιος,ἠέλιος,n-s---mn-,خورشید,Ref=1.475
ἠερίη,ἠέριος,a-s---fn-,سپیده‌دم,Ref=1.557
Ἠετίωνος,Ἠετίων,n-s---mg-,ائتیون,Ref=1.366|SpaceAfter=No
ἠέλιον,ἥλιος,n-s---ma-,خورشید,Ref=1.601
ἥλοισι,ἧλος,n-p---md-,گل‌میخ ,Ref=1.246
ἧσθαι,ἧμαι,v--rne---,نشستن,Ref=1.134
ἦμαρ,ἦμαρ,n-s---na-,روز,Ref=1.592
ἡμετέρῳ,ἡμέτερος,a-s---md-,ما,Ref=1.30
ἦ,ἠμί,v3siia---,گفتن,Ref=1.219
ἦμος,ἦμος,c--------, وقتی,Ref=1.477
ἠπείροιο,ἤπειρος,n-s---fg-,خشکی,Ref=1.485
Ἥρη,Ἥρα,n-s---fn-,هرا,Ref=1.55|SpaceAfter=No
ἠριγένεια,ἠριγένεια,a-s---fn-,نوزاده,Ref=1.477
ἥρως,ἥρως,n-p---mn-,پهلوان,Ref=1.102
ἤτοι,ἤτοι,g--------,همانا,Ref=1.211
ἦτορ,ἦτορ,n-s---nn-,قلب,Ref=1.188
ἠΰτ',ἠύτε,g--------,همچون,Ref=1.359
Ἥφαιστος,Ἥφαιστος,n-s---mn-,هِفایسْتوسِ,Ref=1.571
ἠχήεσσα,ἠχήεις,a-s---fn-,خروشان,Ref=1.157|SpaceAfter=No
ἧχι,ἧχι,d--------,آنجا، جایی,Ref=1.607
Ἠώς,ἠώς,n-s---fn-,پگاه,Ref=1.477|SpaceAfter=No
θαλάσσης,θάλασσα,n-s---fg-,دریا,Ref=1.34|SpaceAfter=No
θάμβησεν,θαμβέω,v3saia---,حیران شدن,Ref=1.199
θαμειαί,θαμέες,a-p---fn-,پرازدحام,Ref=1.52|SpaceAfter=No
θάνατόν,θάνατος,n-s---ma-,مرگ,Ref=1.60
θαρσήσας,θαρσέω,v-sapamn-,شهامت یافتن,Ref=1.85
θεὰ,θεά,n-s---fn-,الهه‌، ایزدبانو,Ref=1.595
θεινομένην,θείνω,v-sppefa-,ضربت‌خوردن,Ref=1.588|SpaceAfter=No
θέμιστας,θέμις,n-p---fa-,رسوم,Ref=1.238
θεοείκελ',θεοείκελος,a-s---mv-,خدای‌سان,Ref=1.131
θεοπροπέων,θεοπροπέω,v-sppamn-,پیشگویی کردن، الهام گرفتن,Ref=1.109
θεοπροπίας,θεοπροπία,n-p---fa-,الهام,Ref=1.87
θεῶν,θεός,n-p---mg-,خدا، ایزد,Ref=1.8
θεράποντε,θεράπων,n-d---mn-,پیشکار,Ref=1.321|SpaceAfter=No
θεσπεσίοιο,θεσπέσιος,a-s---mg-,آسمانی,Ref=1.591|SpaceAfter=No
Θεστορίδης,Θεστορίδης,n-s---mn-,پور تستور,Ref=1.69
Θέτις,Θέτις,n-s---fn-,تتیس,Ref=1.413
ἔθεεν,θέω,v3siia---,رفتن، دویدن,Ref=1.483
Θήβην,Θήβη,n-s---fa-,تبس,Ref=1.366
Θησέα,Θησεύς,n-s---ma-,تسئوس,Ref=1.265
θῖν',θίς,n-s---ma-,ساحل,Ref=1.316
θνήσκοντας,θνήσκω,v-pppama-,مردن‌,Ref=1.56
θνητῶν,θνητός,a-p---mg-,میرا,Ref=1.574
θοῇ,θοός,a-s---fd-,تیزرو,Ref=1.389
θρόνου,θρόνος,n-s---mg-,تخت پادشاهی,Ref=1.536|SpaceAfter=No
θυγάτηρ,θυγάτηρ,n-s---fn-,دختر,Ref=1.556
θυμῷ,θυμός,n-s---md-,دل، جان، خاطر,Ref=1.24|SpaceAfter=No
θύει,θύω,v3spia---,خروشیدن,Ref=1.342|SpaceAfter=No
θωρηχθῆναι,θωρήσσω,v--anp---,زره پوشیدن,Ref=1.226
ἴαχε,ἰάχω,v3siia---,خروشیدن، فریاد زدن,Ref=1.482
Ἰδομενεὺς,Ἰδομενεύς,n-s---mn-,ایدومنئوس,Ref=1.145
ἱερῆα,ἱερεύς,n-s---ma-,راهب، قدیس، کاهن,Ref=1.23
ἱερὰ,ἱερόν,n-p---na-,قربانی مقدس,Ref=1.147
ἱερὴν,ἱερός,a-s---fa-,مقدس,Ref=1.99
εἷσεν,ἵζω,v3saia---,نشاندن,Ref=1.311
ἕηκε,ἵημι,v3saia---,انداختن، فرستادن,Ref=1.48|SpaceAfter=No
ἱκάνει,ἱκάνω,v3spia---,آمدن,Ref=1.254|SpaceAfter=No
ἴκμενον,ἴκμενος,a-s---ma-,موافق,Ref=1.479
ἱκέσθαι,ἱκνέομαι,v--anm---,آمدن، رسیدن,Ref=1.19|SpaceAfter=No
ἱλασσάμενοι,ἱλάομαι,v-papmmn-,خرسند ساختن,Ref=1.100
ἵλαος,ἴλαος,a-s---mn-,مهربان,Ref=1.583
ἱλάσσεαι,ἱλάσκομαι,v2sasm---,خرسند ساختن، دلجویی کردن,Ref=1.147
Ἴλιον,Ἴλιος,n-s---fa-,ایلیوس,Ref=1.71
ἵνα,ἵνα,c--------, تا,Ref=1.203
ἰὸν,ἰός,n-s---ma-,تیر,Ref=1.48
ἵππους,ἵππος,n-p---fa-,اسب,Ref=1.154|SpaceAfter=No
ἴψαο,ἴπτομαι,v2saie---,سرکوب کردن، آشفتن,Ref=1.454
ἶσον,ἴσος,a-s---na-,همچون، برابر,Ref=1.163
στῆ,ἵστημι,v3saia---,ایستادن، ایستاندن,Ref=1.197
ἱστία,ἱστίον,n-p---na-,بادبان‌,Ref=1.433
ἱστοδόκῃ,ἱστοδόκη,n-s---fd-,پایه‌ی دکل,Ref=1.434
ἱστὸν,ἱστός,n-s---ma-,دکل، دار بافندگی,Ref=1.31
ἴσχεο,ἴσχω,v2spme---,خویشتن‌داری کردن,Ref=1.214|SpaceAfter=No
ἰφθίμους,ἴφθιμος,a-p---ma-,دلیر,Ref=1.3
ἶφι,ἶφι,d--------,توانمندانه,Ref=1.38
καθάπτεσθαι,καθάπτω,v--pne---,نزدیک شدن,Ref=1.582
καθέζετο,καθέζομαι,v3saia---,نشستن,Ref=1.500|SpaceAfter=No
καθεῦδ',καθεύδω,v3siia---,خوابیدن، آرمیدن,Ref=1.611
κάθησο,κάθημαι,v2srme---,نشستن,Ref=1.565|SpaceAfter=No
καὶ,καί,c--------,و، نیز,Ref=1.7
Καινέα,Καινεύς,n-s---ma-,کاینئوس,Ref=1.264
ἔκηα,καίω,v1saia---,سوزاندن، سوختن,Ref=1.40
κακήν,κακός,a-s---fa-,بد، ناگوار، سخت، شوم,Ref=1.10|SpaceAfter=No
καλέσσατο,καλέω,v3saim---,فرا خواندن,Ref=1.54
καλλιπάρῃον,καλλιπάρηος,a-s---fa-,خوبرو,Ref=1.369|SpaceAfter=No
καλὸν,καλός,a-s---ma-,زیبا,Ref=1.473
ἐκάλυψαν,καλύπτω,v3paia---,پوشاندن,Ref=1.460
Κάλχας,Κάλχας,n-s---mn-,کالخاس,Ref=1.69
κάμω,κάμνω,v1sasa---,خسته شدن، زحمت کشیدن,Ref=1.168
καπνῷ,καπνός,n-s---md-,دود,Ref=1.317|SpaceAfter=No
κραδίην,καρδία,n-s---fa-,قلب، دل,Ref=1.225
καρήνων,κάρηνον,n-p---ng-,قله‌، سر,Ref=1.44
καρπαλίμως,καρπάλιμος,d--------,سراسیمه، شتابان,Ref=1.359
καρπὸν,καρπός,n-s---ma-,محصول، میوه,Ref=1.156
καρτερός,καρτερός,a-s---mn-,قدرتمند,Ref=1.178
κατ',κατά,r--------,پایین، به، بر، در، میان,Ref=1.44
κατέδυ,καταδύω,v3saia---,پایین رفتن، غروب کردن,Ref=1.475
κακκείοντες,κατακείω,v-pfpamn-,آرمیدن، آسودن,Ref=1.606
κατάνευσον,κατανεύω,v2sama---,اشارت کردن، سر تکان دادن,Ref=1.514
καταπέψῃ,καταπέσσω,v3sasa---,فرو خوردن,Ref=1.81|SpaceAfter=No
κάππεσον,καταπίπτω,v1saia---,فرو افتادن,Ref=1.593
κατέρεξεν,καταρρέζω,v3saia---,نوازش کردن,Ref=1.361
κείμενα,κεῖμαι,v-pppena-,رها شدن، انبار شدن,Ref=1.124
κεῖνοι,κεῖνος,a-p---mn-,آنان,Ref=1.266
κελαινεφέϊ,κελαινεφής,a-s----d-,تاریک‌ابر,Ref=1.397
κελαινὸν,κελαινός,a-s---nn-,تیره‌‌,Ref=1.303
κέλευθα,κέλευθος,n-p---na-, راه‌، مسیر,Ref=1.312|SpaceAfter=No
κελόμην,κέλομαι,v1siie---,فرمان دادن,Ref=1.386
κερδαλεόφρον,κερδαλεόφρων,a-s---mv-,طمعکار,Ref=1.149
κερτομίοισι,κερτόμιος,a-p---nd-, طعنه‌آمیز، نیش‌دار,Ref=1.539
κεῦθε,κεύθω,v2spma---,پنهان کردن,Ref=1.363
κεφαλῇ,κεφαλή,n-s---fd-,سر,Ref=1.524
κήδε',κῆδος,n-p---na-, مصیبت‌,Ref=1.445
κήδετο,κήδω,v3siie---,نگران بودن,Ref=1.56
κῆλα,κῆλον,n-p---nn-,خدنگ‌، تیر، پیکان,Ref=1.53
κὴρ,κήρ,n-s---mn-,مرگ,Ref=1.228
κῆρ,κῆρ,n-s---na-,قلب، دل,Ref=1.44|SpaceAfter=No
κήρυκες,κῆρυξ,n-p---mn-,پیک‌,Ref=1.391
Κίλλάν,Κίλλα,n-s---fa-,کیلا,Ref=1.38
κινηθέντος,κινέω,v-sappmg-,حرکت کردن,Ref=1.47|SpaceAfter=No
κιχείω,κιχάνω,v1sasa---,رسیدن، زدن,Ref=1.26
κιὼν,κίω,v-sapamn-,رفتن,Ref=1.35
κλαγγὴ,κλαγγή,n-s---fn-,بانگ,Ref=1.49
ἔκλαγξαν,κλάζω,v3paia---,به صدا درآمدن,Ref=1.46
κλαίεις,κλαίω,v2spia---,گریستن,Ref=1.362|SpaceAfter=No
κλέπτε,κλέπτω,v2spma---,دزدیدن، پنهان کردن,Ref=1.132
κλισίην,κλισία,n-s---fa-,استراحتگاه,Ref=1.185
κλισίηθεν,κλισίηθεν,d--------,از استراحتگاه,Ref=1.391
Κλυταιμνήστρης,Κλυταιμνήστρη,n-s---fg-,کلوتایمْنِستْرِه,Ref=1.113
κλυτοτέχνης,κλυτοτέχνης,a-s---mn-,ستوده‌هنر,Ref=1.571
κλῦθί,κλύω,v2sama---,شنیدن,Ref=1.37
κνέφας,κνέφας,n-s---nn-,غروب,Ref=1.475
κνίσης,κνῖσα,n-s---fg-,دود پیه، پیه,Ref=1.66
κοίλῃς,κοῖλος,a-p---fd-,میان‌تهی,Ref=1.89
κοιμήσαντο,κοιμάω,v3paim---,به خواب رفتن,Ref=1.476
κουλεὸν,κολεόν,n-s---na-,غلاف,Ref=1.220
κολῳὸν,κολῳός,n-s---ma-,نزاع,Ref=1.575
κόμης,κόμη,n-s---fg-,مو,Ref=1.197
κομίσαντο,κομίζω,v3paim---,مراقبت کردن,Ref=1.594
κούρην,κόρη,n-s---fa-,دختر,Ref=1.98
κοῦροι,κόρος,n-p---mn-,پسر,Ref=1.473
κορυφῇ,κορυφή,n-s---fd-,قله‌,Ref=1.499
κορωνίσιν,κορωνίς,a-p---fd-,نوک‌خمیده,Ref=1.170|SpaceAfter=No
κοσμήτορε,κοσμήτωρ,n-d---ma-,فرمانده‌,Ref=1.16
κοτέοντος,κοτέω,v-sppamg-,کینه‌ توختن,Ref=1.181|SpaceAfter=No
κότον,κότος,n-s---ma-,کینه‌,Ref=1.82|SpaceAfter=No
κουριδίης,κουρίδιος,a-s---fg-,نکاحی، ازدواج کرده,Ref=1.114
κρήηνον,κραίνω,v2sama---,برآورده کردن,Ref=1.41
κρατὸς,κράς,n-s---fg-,سر، بالا,Ref=1.530
κρατερὸν,κρατερός,a-s---ma-,قاطع,Ref=1.25
κρατέει,κρατέω,v3spia---,قدرت داشتن,Ref=1.79
κρητῆρος,κρατήρ,n-s---mg-,قدح,Ref=1.598
κάρτιστοι,κράτιστος,a-p---mn-,قدرتمندترین,Ref=1.266
κράτος,κράτος,n-s---na-,قدرت,Ref=1.509
κρείσσων,κρείσσων,a-s---mnc,قدرتمندتر,Ref=1.80
κρείων,κρείων,n-s---mn-,حاکم، فرمانروا,Ref=1.102
κρήγυον,κρήγυος,a-s---na-, نیکو,Ref=1.106
ἔκρινεν,κρίνω,v3saia---,انتخاب کردن، گزیدن,Ref=1.309
Κρονίδη,Κρονίδης,n-s---mv-,پور خرونوس,Ref=1.552
Κρονίωνα,Κρονίων,n-s---ma-,پور خرونوس,Ref=1.539
κρυπτάδια,κρυπτάδιος,a-p---na-,پنهانی، مخفیانه,Ref=1.542
κτεινομένους,κτείνω,v-pppema-,کشتن,Ref=1.410|SpaceAfter=No
κυανέῃσιν,κυάνεος,a-p---fd-,سیاه، لاجوردی,Ref=1.528
κυδιάνειραν,κυδιάνειρα,a-s---fa-,شوکت‌آفرین,Ref=1.490
κύδιστε,κύδιστος,a-s---mv-,پرشوکت‌ترین,Ref=1.122
κῦδος,κῦδος,n-s---na-,ارج، شوکت,Ref=1.279
κῦμα,κῦμα,n-s---na-,موج,Ref=1.496
κυνῶπα,κυνώπης,n-s---mv-,سگ‌چشم,Ref=1.159
κύπελλον,κύπελλον,n-s---na-,جام,Ref=1.596|SpaceAfter=No
κυνὸς,κύων,n-s---mg-,سگ,Ref=1.225
κώπῃ,κώπη,n-s---fd-, قبضه‌، دسته,Ref=1.219
λάβεν,λαμβάνω,v3saia---,گرفتن، چیره شدن,Ref=1.387|SpaceAfter=No
λαμπετόωντι,λαμπετάω,v-sppand-,درخشیدن,Ref=1.104
λαμπρὸν,λαμπρός,a-s---nn-,تابان,Ref=1.605
λήθετ',λανθάνω,v3siie---,غافل ماندن، فراموش کردن,Ref=1.495
λαοί,λαός,n-p---mn-,مردم,Ref=1.10|SpaceAfter=No
λασίοισι,λάσιος,a-p---nd-,پرمو,Ref=1.189
λεῖβε,λείβω,v3siia---,ریختن,Ref=1.463|SpaceAfter=No
λέλοιπεν,λείπω,v3plia---,جدا شدن، جدا کردن، رها کردن,Ref=1.235|SpaceAfter=No
λευκὰ,λευκός,a-p---na-,سفید,Ref=1.480
λευκώλενος,λευκώλενος,a-s---fn-,سپیدبازو,Ref=1.55
λεύσσετε,λεύσσω,v2ppia---,دیدن,Ref=1.120
λέχος,λέχος,n-s---na-,بستر,Ref=1.31
λῆγ',λήγω,v3siia---,پایان دادن، دست برداشتن,Ref=1.319
Λήμνῳ,Λῆμνος,n-s---fd-,لِمْنوس,Ref=1.593|SpaceAfter=No
Λητοῦς,Λητώ,n-s---fg-,لتو,Ref=1.9
λιασθείς,λιάζομαι,v-sapemn-,خم شدن، خم کردن,Ref=1.349|SpaceAfter=No
λίην,λίαν,d--------,زیاد، بسیار,Ref=1.553
λιγὺς,λιγύς,a-s---mn-,شیوا,Ref=1.248
λιμένος,λιμήν,n-s---mg-,بندر,Ref=1.432
λίσσετο,λίσσομαι,v3siie---,التماس کردن، طلبیدن,Ref=1.15
λοίγια,λοίγιος,a-p---nn-,هلاکت‌بار,Ref=1.573
λοιγὸν,λοιγός,n-s---ma-,بلا، ویرانی,Ref=1.456
λοιμὸς,λοιμός,n-s---mn-,طاعون,Ref=1.61
λόχον,λόχος,n-s---ma-,کمینگاه,Ref=1.227
λύματα,λῦμα,n-p---na-,ناپاکی‌، چرک‌آب,Ref=1.314
λυσόμενός,λύω,v-sfpmmn-,رها کردن,Ref=1.13
λωβήσαιο,λωβάομαι,v2saoe---,درشتی کردن، گستاخی کردن,Ref=1.232|SpaceAfter=No
λώϊόν,λωίων,a-s---nnc,مطلوب‌تر، بهتر,Ref=1.229
μὰ,μά,g--------,(ادات) قسم بر,Ref=1.86
μακάρεσσι,μάκαρ,a-p---md-,فرخنده، خجسته,Ref=1.599
μακάρων,μάκαρος,a-p---mg-,فرخنده، خجسته,Ref=1.339
μακρὸν,μακρός,a-s---ma-,افراشته، بلند,Ref=1.402
μάλ',μάλα,d--------,بس، بسیار,Ref=1.554
μαλακοῖσιν,μαλακός,a-p---nd-,لطیف,Ref=1.582|SpaceAfter=No
μάλιστα,μάλιστα,d--------,بیشتر، بهتر,Ref=1.16
μᾶλλον,μᾶλλον,d--------,بس,Ref=1.563
μαντεύεσθαι,μαντεύομαι,v--pne---,پیشگویی کردن,Ref=1.107|SpaceAfter=No
μάντιν,μάντις,n-s---ma-,پیشگو,Ref=1.62
μαντοσύνην,μαντοσύνη,n-s---fa-,نیروی پیشگویی‌ ,Ref=1.72|SpaceAfter=No
μαρναμένοιϊν,μάρναμαι,v-dppemg-,جدال کردن، رزمیدن,Ref=1.257|SpaceAfter=No
μάρτυροι,μάρτυρος,n-p---mn-,شاهد ,Ref=1.338
μάχαι,μάχη,n-p---fn-,نبرد، رزم,Ref=1.177
μαχέοιντο,μάχομαι,v3ppoe---,رزمیدن، نبرد کردن,Ref=1.344
μεγάθυμοι,μεγάθυμος,a-p---mn-,گشاده دل,Ref=1.123
μεγάροισι,μέγαρον,n-p---nd-,تالار,Ref=1.418|SpaceAfter=No
μέγα,μέγας,a-s---na-,بزرگ، عظیم، بسیار,Ref=1.78
μεθέμεν,μεθίημι,v--ana---,فرونشاندن، دست برداشتن,Ref=1.283
μεθομίλεον,μεθομιλέω,v1siia---,هم‌سخن بودن,Ref=1.269
μείδησεν,μειδάω,v3saia---,لبخند زدن,Ref=1.595
ἔμμορε,μείρομαι,v3sria---,کسی را قسمت بودن مقدر بودن,Ref=1.278
μέλαιναν,μέλας,a-s---fa-,سیاه,Ref=1.141
μέλιτος,μέλι,n-s---ng-, شهد,Ref=1.249
μέλλει,μέλλω,v3spia---,قصد کردن، بر آن شدن,Ref=1.564
μέλποντες,μέλπω,v-pppamn-,ستودن,Ref=1.474
μελήσεται,μέλω,v3sfim---,نظر کردن، تامل کردن,Ref=1.523
μεμαῶτα,μέμαα,v-srpama-,خواستن، مشتاق بودن,Ref=1.590
μὲν,μέν,g--------,نیز، و,Ref=1.18
Μενελάῳ,Μενέλαος,n-s---md-,منلائوس,Ref=1.159
Μενοιτιάδῃ,Μενοιτιάδης,n-s---md-,پور منویتیوس,Ref=1.307
μένεος,μένος,n-s---ng-,غیظ,Ref=1.103
μεῖναι,μένω,v--ana---, ماندن,Ref=1.535
μερμήριξεν,μερμηρίζω,v3saia---,مردد بودن,Ref=1.189|SpaceAfter=No
μερόπων,μέροψ,a-p---mg-,میرا,Ref=1.250
μέσον,μέσος,a-s---na-,میانه ,Ref=1.481
μετὰ,μετά,r--------,میان، نزد، همراه,Ref=1.48
