ve_ref,value,lemma,gloss (eng),tag
1670.t5,gedēfe,gedefe,fitting,nsn
1670.t6,wæs.,wesan,be,p3s
1671.t1,Ic,ic,I,ns
1671.t2,hit,hit,that,asn
1671.t3,þē,þu,you,ds
1671.t4,þonne,þonne,therefore,indeclinable
1671.t5,gehāte,gehatan,promise,pr1s
1671.t6,þæt,þæt,that,indeclinable
1671.t7,þū,þu,you,ns
1671.t8,on,on,in,indeclinable
1671.t9,Heorote,Heorot,Heorot,ds
1671.t10,mōst,motan,may,pr2s
1672.t1,sorhlēas,sorhleas,free from care,nsm
1672.t2,swefan,swefan,sleep,i
1672.t3,mid,mid,with,indeclinable
1672.t4,þīnra,þin,your,gpm
1672.t5,secga,secg,man,gp
1672.t6,gedryht,gedryht,retinue,as
1673.t1,ond,ond,and,indeclinable
1673.t2,þegna,þegn,retainer,gp
1673.t3,gehwylc,gehwylc,each,nsm
1673.t4,þīnra,þin,your,gpm
1673.t5,"lēoda,",leod,man,gp
1674.t1,duguðe,duguð,old retainers,gs
1674.t2,ond,ond,and,indeclinable
1674.t3,"iogoþe,",geogoð,young warriors,gs
1674.t4,þæt,þæt,that,indeclinable
1674.t5,þū,þu,you,ns
1674.t6,him,hie,they,dpm
1674.t7,ondrǣdan,ondrædan,fear,i
1674.t8,ne,ne,not,indeclinable
1674.t9,"þearft,",þurfan,need,pr2s
1675.t1,þēoden,þeoden,lord,ns
1675.t2,"Scyldinga,",Scyldingas,Scyldings,gp
1675.t3,on,on,from,indeclinable
1675.t4,þā,seo,that,asf
1675.t5,"healfe,",healf,side,as
1676.t1,aldorbealu,ealdor-bealo,injury to life,as
1676.t2,"eorlum,",eorl,man,dp
1676.t3,swā,swa,as,indeclinable
1676.t4,þū,þu,you,ns
1676.t5,ǣr,ær,before,indeclinable
1676.t6,dydest.’,don,do,p2s
1677.t1,Ðā,þa,then,indeclinable
1677.t2,wæs,wesan,be,p3s
1677.t3,gylden,gylden,golden,nsn
1677.t4,hilt,hilt,hilt,ns
1677.t5,gamelum,gamol,old,dsm
1677.t6,"rince,",rinc,warrior,ds
1678.t1,hārum,har,hoary,dsm
1678.t2,hildfruman,hild-fruma,war-leader,ds
1678.t3,on,on,in,indeclinable
1678.t4,hand,hand,hand,as
1678.t5,"gyfen,",gifan,give,pp
1679.t1,enta,ent,giant,gp
1679.t2,ǣrgeweorc;,ær-geweorc,ancient work,ns
1679.t3,hit,hit,it,nsn
1679.t4,on,on,into,indeclinable
1679.t5,ǣht,æht,possession,as
1679.t6,gehwearf,gehweorfan,pass,p3s
1680.t1,æfter,æfter,after,indeclinable
1680.t2,dēofla,deofol,demon,gp
1680.t3,hryre,hryre,death,ds
1680.t4,Denigea,Dene,Danes,gp
1680.t5,"frean,",frea,lord,ds
1681.t1,wundorsmiþa,wundor-smið,wonder-smith,gp
1681.t2,geweorc;,geweorc,handiwork,ns
1681.t3,ond,ond,and,indeclinable
1681.t4,þā,þa,when,indeclinable
1681.t5,þās,þeos,this,asf
1681.t6,worold,worold,world,as
1681.t7,ofgeaf,ofgifan,leave,p3s
1682.t1,gromheort,gram-heort,hostile-hearted,nsm
1682.t2,"guma,",guma,man,ns
1682.t3,Godes,God,God,gs
1682.t4,"andsaca,",andsaca,adversary,ns
1683.t1,morðres,morðor,murder,gs
1683.t2,"scyldig,",scyldig,guilty,nsm
1683.t3,ond,ond,and,indeclinable
1683.t4,his,he,his,gsm
1683.t5,mōdor,modor,mother,ns
1683.t6,"ēac,",eac,also,indeclinable
1684.t1,on,on,into,indeclinable
1684.t2,geweald,geweald,power,as
1684.t3,gehwearf,gehweorfan,pass,p3s
1684.t4,woroldcyninga,worold-cyning,earthly king,gp
1685.t1,ðǣm,se,the,dsm
1685.t2,sēlestan,selest,best,dsms
1685.t3,be,be,between,indeclinable
1685.t4,sǣm,sæ,sea,dp
1685.t5,twēonum,tweone,two,dpm
1686.t1,ðāra,se,that,gpm
1686.t2,þe,þe,who,in
1686.t3,on,on,in,indeclinable
1686.t4,Scedenigge,Sceden-ig,Scandia,ds
1686.t5,sceattas,sceatt,money,ap
1686.t6,dǣlde.,dælan,distribute,p3s
1687.t1,Hrōðgār,Hroðgar,Hrothgar,ns
1687.t2,maðelode;,maþelian,speak,p3s
1687.t3,hylt,hilt,hilt,as
1687.t4,"scēawode,",sceawian,examine,p3s
1688.t1,ealde,eald,ancient,asf
1688.t2,lāfe.,laf,heirloom,as
1688.t3,On,on,on,indeclinable
1688.t4,ðǣm,þæt,it,dsn
1688.t5,wæs,wesan,be,p3s
1688.t6,ōr,or,origin,ns
1688.t7,writen,writan,engrave,pp
1689.t1,fyrngewinnes;,fyrn-gewinn,ancient strife,gs
1689.t2,syðþan,siððan,then,indeclinable
1689.t3,flōd,flod,flood,ns
1689.t4,"ofslōh,",ofslean,slay,p3s
1690.t1,gifen,geofon,sea,ns
1690.t2,gēotende,geotan,rush,pprnsm
1690.t3,gīganta,gigant,giant,gp
