named_entity_urn,ref,token_position
urn:cite2:exploreHomer:place.v1:place19,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,282
urn:cite2:exploreHomer:place.v1:place20,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,278
urn:cite2:hmt:place.v1:place200,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,131
urn:cite2:hmt:place.v1:place200,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,187
urn:cite2:exploreHomer:place.v1:place21,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,326
urn:cite2:exploreHomer:place.v1:place22,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,12
urn:cite2:hmt:place.v1:place1,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,330
urn:cite2:hmt:place.v1:place282,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,320
urn:cite2:hmt:place.v1:place207,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,168
urn:cite2:hmt:place.v1:place396,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,278
urn:cite2:hmt:place.v1:place410,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,200
urn:cite2:hmt:place.v1:place189,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,222
urn:cite2:hmt:place.v1:place189,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,223
urn:cite2:hmt:place.v1:place88,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,234
urn:cite2:exploreHomer:place.v1:place23,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,238
urn:cite2:hmt:place.v1:place141,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,217
urn:cite2:hmt:place.v1:place151,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,23
urn:cite2:hmt:place.v1:place371,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,330
