named_entity_urn,ref,token_position
urn:cite2:beyond-translation:place.atlas_v1:65,urn:cts:engLit:gibbon.decline.ccel-eng1:01.22.01,152
urn:cite2:beyond-translation:place.atlas_v1:32,urn:cts:engLit:gibbon.decline.ccel-eng1:01.02.02,181
urn:cite2:beyond-translation:place.atlas_v1:32,urn:cts:engLit:gibbon.decline.ccel-eng1:01.07.01,166
urn:cite2:beyond-translation:place.atlas_v1:32,urn:cts:engLit:gibbon.decline.ccel-eng1:01.10.01,112
urn:cite2:beyond-translation:place.atlas_v1:32,urn:cts:engLit:gibbon.decline.ccel-eng1:01.19.01,243
urn:cite2:beyond-translation:place.atlas_v1:32,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,85
urn:cite2:beyond-translation:place.atlas_v1:32,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,205
urn:cite2:beyond-translation:place.atlas_v1:32,urn:cts:engLit:gibbon.decline.ccel-eng1:01.33.01,30
urn:cite2:beyond-translation:place.atlas_v1:32,urn:cts:engLit:gibbon.decline.ccel-eng1:01.33.01,169
urn:cite2:beyond-translation:place.atlas_v1:32,urn:cts:engLit:gibbon.decline.ccel-eng1:01.37.01,162
urn:cite2:beyond-translation:place.atlas_v1:7,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.01,108
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.01,108
urn:cite2:beyond-translation:place.atlas_v1:7,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.00,1
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.00,1
urn:cite2:beyond-translation:place.atlas_v1:7,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,14
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,14
urn:cite2:beyond-translation:place.atlas_v1:7,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,64
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,64
urn:cite2:beyond-translation:place.atlas_v1:7,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,112
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,112
urn:cite2:beyond-translation:place.atlas_v1:7,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,195
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,195
urn:cite2:beyond-translation:place.atlas_v1:7,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,230
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,230
urn:cite2:beyond-translation:place.atlas_v1:7,urn:cts:engLit:gibbon.decline.ccel-eng1:01.33.01,17
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.33.01,17
urn:cite2:beyond-translation:place.atlas_v1:7,urn:cts:engLit:gibbon.decline.ccel-eng1:01.34.01,42
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.34.01,42
urn:cite2:beyond-translation:place.atlas_v1:7,urn:cts:engLit:gibbon.decline.ccel-eng1:01.36.01,165
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.36.01,165
urn:cite2:beyond-translation:place.atlas_v1:42,urn:cts:engLit:gibbon.decline.ccel-eng1:01.22.01,52
urn:cite2:beyond-translation:place.atlas_v1:21,urn:cts:engLit:gibbon.decline.ccel-eng1:01.25.01,194
urn:cite2:beyond-translation:place.atlas_v1:6,urn:cts:engLit:gibbon.decline.ccel-eng1:01.06.01,134
urn:cite2:beyond-translation:place.atlas_v1:6,urn:cts:engLit:gibbon.decline.ccel-eng1:01.06.01,250
urn:cite2:beyond-translation:place.atlas_v1:6,urn:cts:engLit:gibbon.decline.ccel-eng1:01.07.01,150
urn:cite2:beyond-translation:place.atlas_v1:6,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,202
urn:cite2:beyond-translation:place.atlas_v1:48,urn:cts:engLit:gibbon.decline.ccel-eng1:01.22.01,122
urn:cite2:beyond-translation:place.atlas_v1:26,urn:cts:engLit:gibbon.decline.ccel-eng1:01.36.01,155
urn:cite2:beyond-translation:place.atlas_v1:2,urn:cts:engLit:gibbon.decline.ccel-eng1:01.06.01,212
urn:cite2:beyond-translation:place.atlas_v1:31,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.01,125
urn:cite2:beyond-translation:place.atlas_v1:28,urn:cts:engLit:gibbon.decline.ccel-eng1:01.05.00,3
urn:cite2:beyond-translation:place.atlas_v1:28,urn:cts:engLit:gibbon.decline.ccel-eng1:01.05.01,221
urn:cite2:beyond-translation:place.atlas_v1:28,urn:cts:engLit:gibbon.decline.ccel-eng1:01.19.01,238
urn:cite2:beyond-translation:place.atlas_v1:28,urn:cts:engLit:gibbon.decline.ccel-eng1:01.26.01,118
urn:cite2:beyond-translation:place.atlas_v1:28,urn:cts:engLit:gibbon.decline.ccel-eng1:01.30.00,3
urn:cite2:beyond-translation:place.atlas_v1:28,urn:cts:engLit:gibbon.decline.ccel-eng1:01.30.01,31
urn:cite2:beyond-translation:place.atlas_v1:28,urn:cts:engLit:gibbon.decline.ccel-eng1:01.37.01,137
urn:cite2:beyond-translation:place.atlas_v1:39,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,142
urn:cite2:beyond-translation:place.atlas_v1:24,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,170
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.00,2
urn:cite2:beyond-translation:place.atlas_v1:8,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,65
urn:cite2:beyond-translation:place.atlas_v1:70,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,124
urn:cite2:beyond-translation:place.atlas_v1:46,urn:cts:engLit:gibbon.decline.ccel-eng1:01.06.01,251
urn:cite2:beyond-translation:place.atlas_v1:46,urn:cts:engLit:gibbon.decline.ccel-eng1:01.07.01,151
urn:cite2:beyond-translation:place.atlas_v1:20,urn:cts:engLit:gibbon.decline.ccel-eng1:01.15.01,229
urn:cite2:beyond-translation:place.atlas_v1:20,urn:cts:engLit:gibbon.decline.ccel-eng1:01.19.01,261
urn:cite2:beyond-translation:place.atlas_v1:20,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,213
urn:cite2:beyond-translation:place.atlas_v1:20,urn:cts:engLit:gibbon.decline.ccel-eng1:01.33.01,65
urn:cite2:beyond-translation:place.atlas_v1:53,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.01,119
urn:cite2:beyond-translation:place.atlas_v1:53,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.01,138
urn:cite2:beyond-translation:place.atlas_v1:41,urn:cts:engLit:gibbon.decline.ccel-eng1:01.23.01,167
urn:cite2:beyond-translation:place.atlas_v1:60,urn:cts:engLit:gibbon.decline.ccel-eng1:01.36.01,148
urn:cite2:beyond-translation:place.atlas_v1:5,urn:cts:engLit:gibbon.decline.ccel-eng1:01.02.02,16
urn:cite2:beyond-translation:place.atlas_v1:4,urn:cts:engLit:gibbon.decline.ccel-eng1:01.02.02,16
urn:cite2:beyond-translation:place.atlas_v1:5,urn:cts:engLit:gibbon.decline.ccel-eng1:01.02.02,193
urn:cite2:beyond-translation:place.atlas_v1:4,urn:cts:engLit:gibbon.decline.ccel-eng1:01.02.02,193
urn:cite2:beyond-translation:place.atlas_v1:5,urn:cts:engLit:gibbon.decline.ccel-eng1:01.06.01,168
urn:cite2:beyond-translation:place.atlas_v1:4,urn:cts:engLit:gibbon.decline.ccel-eng1:01.06.01,168
urn:cite2:beyond-translation:place.atlas_v1:5,urn:cts:engLit:gibbon.decline.ccel-eng1:01.02.02,17
urn:cite2:beyond-translation:place.atlas_v1:61,urn:cts:engLit:gibbon.decline.ccel-eng1:01.36.01,150
urn:cite2:beyond-translation:place.atlas_v1:45,urn:cts:engLit:gibbon.decline.ccel-eng1:01.36.01,178
urn:cite2:beyond-translation:place.atlas_v1:38,urn:cts:engLit:gibbon.decline.ccel-eng1:01.06.01,182
urn:cite2:beyond-translation:place.atlas_v1:36,urn:cts:engLit:gibbon.decline.ccel-eng1:01.06.01,211
urn:cite2:beyond-translation:place.atlas_v1:34,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,101
urn:cite2:beyond-translation:place.atlas_v1:34,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,199
urn:cite2:beyond-translation:place.atlas_v1:69,urn:cts:engLit:gibbon.decline.ccel-eng1:01.35.01,106
urn:cite2:beyond-translation:place.atlas_v1:55,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,161
urn:cite2:beyond-translation:place.atlas_v1:63,urn:cts:engLit:gibbon.decline.ccel-eng1:01.31.01,147
urn:cite2:beyond-translation:place.atlas_v1:33,urn:cts:engLit:gibbon.decline.ccel-eng1:01.05.01,256
urn:cite2:beyond-translation:place.atlas_v1:33,urn:cts:engLit:gibbon.decline.ccel-eng1:01.20.01,306
urn:cite2:beyond-translation:place.atlas_v1:33,urn:cts:engLit:gibbon.decline.ccel-eng1:01.26.01,64
urn:cite2:beyond-translation:place.atlas_v1:33,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,78
urn:cite2:beyond-translation:place.atlas_v1:33,urn:cts:engLit:gibbon.decline.ccel-eng1:01.32.01,226
urn:cite2:beyond-translation:place.atlas_v1:56,urn:cts:engLit:gibbon.decline.ccel-eng1:01.23.01,11
