ve_ref,value,word_value,lemma,gloss,part_of_speech,tag,case,mood
43.1.t1,τί,τί,τίς,"1: wie?, welke?",pronoun,p-s---na-,accusative,
43.1.t2,τηνικάδε,τηνικάδε,τηνικάδε,"at this time, then",adverb,d--------,,
43.1.t3,"ἀφῖξαι,",ἀφῖξαι,ἀφικνέομαι,"arrive at, come to, reach:",verb,v2srie---,,indicative
43.1.t4,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
43.1.t5,Κρίτων;,Κρίτων,Κρίτων,,noun,n-s---mv-,vocative,
43.2.t1,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),,b--------,,
43.2.t2,οὐ,οὐ,οὐ,1: niet,adverb,d--------,,
43.2.t3,πρῲ,πρῲ,πρωΐ,3: ´s ochtends | in het begin,adverb,d--------,,
43.2.t4,ἔτι,ἔτι,ἔτι,1: nog,adverb,d--------,,
43.2.t5,ἐστίν;,ἐστίν,εἰμί,1: gaan,verb,v3spia---,,indicative
43.3.t1,πάνυ,πάνυ,πάνυ,"1: zeer, heel",adverb,d--------,,
43.3.t2,μὲν,μὲν,μέν,1: wel...,adverb,d--------,,
43.3.t3,οὖν.,οὖν,οὖν,1: dus,adverb,d--------,,
43.3.t4,[0],[0],,,,,,
43.4.t1,πηνίκα,πηνίκα,πηνίκα,at what precise point of time? at what hour?,adverb,d--------,,
43.4.t2,μάλιστα;,μάλιστα,μάλα,"1: zeer, veel",adverb,d-------s,,
43.4.t3,[0],[0],,,,,,
43.5.t1,ὄρθρος,ὄρθρος,ὄρθρος,"the time just before or about daybreak, dawn, cock-crow",noun,n-s---mn-,nominative,
43.5.t2,βαθύς.,βαθύς,βαθύς,deep or high,adjective,a-s---mn-,nominative,
43.5.t3,[0],[0],,,,,,
43.6.t1,θαυμάζω,θαυμάζω,θαυμάζω,"wonder, marvel",verb,v1spia---,,indicative
43.6.t2,ὅπως,ὅπως,ὅπως,"1: opdat, om ... te",conjunction,c--------,,
43.6.t3,ἠθέλησέ,ἠθέλησέ,ἐθέλω,1: willen,verb,v3saia---,,indicative
43.6.t4,σοι,σοι,σύ,"1: jij, u",,p2s---cd-,,
43.6.t5,ὁ,ὁ,ὁ,1: ,article,l-s---mn-,nominative,
43.6.t6,τοῦ,τοῦ,ὁ,1: ,,l-s---ng-,,
43.6.t7,δεσμωτηρίου,δεσμωτηρίου,δεσμωτήριον,prison,noun,n-s---ng-,genitive,
43.6.t8,φύλαξ,φύλαξ,φύλαξ,"watcher, guard, sentinel",noun,n-s---mn-,nominative,
43.6.t9,ὑπακοῦσαι.,ὑπακοῦσαι,ὑπακούω,"hearken, give ear",verb,v--ana---,,infinitive
43.7.t1,συνήθης,συνήθης,συνήθης,"dwelling or living together, accustomed",adjective,a-s---mn-,nominative,
43.7.t2,ἤδη,ἤδη,ἤδη,"1: reeds, al | vanaf nu",adverb,d--------,,
43.7.t3,μοί,μοί,ἐγώ,1: ik,,p1s---cd-,,
43.7.t4,"ἐστιν,",ἐστιν,εἰμί,1: gaan,verb,v3spia---,,indicative
43.7.t5,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
43.7.t6,"Σώκρατες,",Σώκρατες,Σωκράτης,,noun,n-s---mv-,vocative,
43.7.t7,διὰ,διὰ,διά,"1: met de hulp van, wegens | doorheen, door | door middel van; via",preposition,r--------,,
43.7.t8,τὸ,τὸ,ὁ,1: ,article,l-s---na-,accusative,
43.7.t9,πολλάκις,πολλάκις,πολλάκις,1: dikwijls,adverb,d--------,,
43.7.t10,δεῦρο,δεῦρο,δεῦρο,1: hierheen | tot nog toe,adverb,d--------,,
43.7.t11,"φοιτᾶν,",φοιτᾶν,φοιτάω,"go to and fro, backwards and forwards",verb,v--pna---,,infinitive
43.7.t12,καί,καί,καί,"1: en | ook, zelfs",,b--------,,
43.7.t13,τι,τι,τις,"1: wie?, welke?",pronoun,p-s---nn-,nominative,
43.7.t14,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.7.t15,εὐεργέτηται,εὐεργέτηται,εὐεργετέω,to be a benefactor,verb,v3srie---,,indicative
43.7.t16,ὑπ’,ὑπ’,ὑπό,"1: onder; onder invloed van, door toedoen van | onder, in de macht van | tot onder",preposition,r--------,,
43.7.t17,ἐμοῦ.,ἐμοῦ,ἐγώ,1: ik,,p1s---cg-,,
43.8.t1,ἄρτι,ἄρτι,ἄρτι,"just, exactly",adverb,d--------,,
43.8.t2,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
43.8.t3,ἥκεις,ἥκεις,ἥκω,1: gekomen zijn,verb,v2spia---,,indicative
43.8.t4,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),conjunction,c--------,,
43.8.t5,πάλαι;,πάλαι,πάλαι,"1: vroeger, lang geleden",adverb,d--------,,
43.8.t6,[0],[0],,,,,,
43.9.t1,ἐπιεικῶς,ἐπιεικῶς,ἐπιεικής,"fitting, meet, suitable",adverb,d--------,,
43.9.t2,πάλαι.,πάλαι,πάλαι,"1: vroeger, lang geleden",adverb,d--------,,
43.9.t3,[0],[0],,,,,,
43.10.t1,εἶτα,εἶτα,εἶτα,1: vervolgens,adverb,d--------,,
43.10.t2,πῶς,πῶς,πῶς,1: hoe?,adverb,d--------,,
43.10.t3,οὐκ,οὐκ,οὐ,1: niet,adverb,d--------,,
43.10.t4,εὐθὺς,εὐθὺς,εὐθύς,1: recht,adverb,d--------,,
43.10.t5,ἐπήγειράς,ἐπήγειράς,ἐπεγείρω,"awaken, rouse up",verb,v2saia---,,indicative
43.10.t6,"με,",με,ἐγώ,1: ik,,p1s---ca-,,
43.10.t7,ἀλλὰ,ἀλλὰ,ἀλλά,1: maar,,b--------,,
43.10.t8,σιγῇ,σιγῇ,σιγή,silence,noun,n-s---fd-,dative,
43.10.t9,παρακάθησαι;,παρακάθησαι,παρακάθημαι,to be seated beside or near,verb,v2spie---,,indicative
43.11.t1,οὐ,οὐ,οὐ,1: niet,adverb,d--------,,
43.11.t2,μὰ,μὰ,μά,1: bij,adverb,d--------,,
43.11.t3,τὸν,τὸν,ὁ,1: ,article,l-s---ma-,accusative,
43.11.t4,"Δία,",Δία,Ζεύς,,noun,n-s---ma-,accusative,
43.11.t5,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
43.11.t6,"Σώκρατες,",Σώκρατες,Σωκράτης,,noun,n-s---mv-,vocative,
43.11.t7,οὐδ’,οὐδ’,οὐδέ,"1: en niet, zelfs niet, en ook niet",adverb,d--------,,
43.11.t8,ἂν,ἂν,ἄν,1: ,adverb,d--------,,
43.11.t9,αὐτὸς,αὐτὸς,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-s---mn-,nominative,
43.11.t10,ἤθελον,ἤθελον,ἐθέλω,1: willen,verb,v1siia---,,indicative
43.11.t11,ἐν,ἐν,ἐν,"1: in, binnenin, temidden van",preposition,r--------,,
43.11.t12,τοσαύτῃ,τοσαύτῃ,τοσοῦτος,1: zo groot,pronoun,p-s---fd-,dative,
43.11.t13,τε,τε,τε,1: en,conjunction,c--------,,
43.11.t14,ἀγρυπνίᾳ,ἀγρυπνίᾳ,ἀγρυπνία,"sleeplessness, wakefulness",noun,n-s---fd-,dative,
43.11.t15,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.11.t16,λύπῃ,λύπῃ,λύπη,pain of body,noun,n-s---fd-,dative,
43.11.t17,"εἶναι,",εἶναι,εἰμί,1: gaan,verb,v--pna---,,infinitive
43.11.t18,ἀλλὰ,ἀλλὰ,ἀλλά,1: maar,,b--------,,
43.11.t19,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.11.t20,σοῦ,σοῦ,σύ,"1: jij, u",,p2s---cg-,,
43.11.t21,πάλαι,πάλαι,πάλαι,"1: vroeger, lang geleden",adverb,d--------,,
43.11.t22,θαυμάζω,θαυμάζω,θαυμάζω,"wonder, marvel",verb,v1spia---,,indicative
43.11.t23,αἰσθανόμενος,αἰσθανόμενος,αἰσθάνομαι,"1: (zintuiglijk) gewaarworden, waarnemen | (verstandelijk) vernemen, kennen",verb,v-sppemn-,nominative,participle
43.11.t24,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",conjunction,c--------,,
43.11.t25,ἡδέως,ἡδέως,ἡδύς,"1: zoet, aangenaam",adverb,d--------,,
43.11.t26,καθεύδεις·,καθεύδεις,καθεύδω,"lie down to sleep, sleep",verb,v2spia---,,indicative
43.12.t1,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.12.t2,ἐπίτηδές,ἐπίτηδές,ἐπίτηδες,"4: zorgvuldig, overwogen | met opzet, arglistig",adverb,d--------,,
43.12.t3,σε,σε,σύ,"1: jij, u",,p2s---ca-,,
43.12.t4,οὐκ,οὐκ,οὐ,1: niet,adverb,d--------,,
43.12.t5,ἤγειρον,ἤγειρον,ἐγείρω,"awaken, rouse",verb,v1siia---,,indicative
43.12.t6,ἵνα,ἵνα,ἵνα,"1: opdat, om...te",conjunction,c--------,,
43.12.t7,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",adverb,d--------,,
43.12.t8,ἥδιστα,ἥδιστα,ἡδύς,"1: zoet, aangenaam",adverb,d-------s,,
43.12.t9,διάγῃς.,διάγῃς,διάγω,carry over or across,verb,v2spsa---,,subjunctive
43.13.t1,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.13.t2,πολλάκις,πολλάκις,πολλάκις,1: dikwijls,adverb,d--------,,
43.13.t3,μὲν,μὲν,μέν,1: wel...,adverb,d--------,,
43.13.t4,δή,δή,δή,"1: al, reeds | dus, dan toch",adverb,d--------,,
43.13.t5,σε,σε,σύ,"1: jij, u",,p2s---ca-,,
43.13.t6,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.13.t7,πρότερον,πρότερον,πρῶτος,1: eerste,adverb,d-------c,,
43.13.t8,ἐν,ἐν,ἐν,"1: in, binnenin, temidden van",preposition,r--------,,
43.13.t9,παντὶ,παντὶ,πᾶς,1: geheel | elk | alle,adjective,a-s---md-,dative,
43.13.t10,τῷ,τῷ,ὁ,1: ,article,l-s---md-,dative,
43.13.t11,βίῳ,βίῳ,βίος,"1: leven, levenswijze | levensonderhoud",noun,n-s---md-,dative,
43.13.t12,ηὐδαιμόνισα,ηὐδαιμόνισα,εὐδαιμονίζω,call or account happy,verb,v1saia---,,indicative
43.13.t13,τοῦ,τοῦ,ὁ,1: ,article,l-s---mg-,genitive,
43.13.t14,"τρόπου,",τρόπου,τρόπος,"1: manier, wending | karakter",noun,n-s---mg-,genitive,
43.13.t15,πολὺ,πολὺ,πολύς,1: talrijk,adjective,a-s---na-,accusative,
43.13.t16,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
43.13.t17,μάλιστα,μάλιστα,μάλα,"1: zeer, veel",adverb,d-------s,,
43.13.t18,ἐν,ἐν,ἐν,"1: in, binnenin, temidden van",preposition,r--------,,
43.13.t19,τῇ,τῇ,ὁ,1: ,article,l-s---fd-,dative,
43.13.t20,νῦν,νῦν,νῦν,1: nu,adverb,d--------,,
43.13.t21,παρεστώσῃ,παρεστώσῃ,παρίστημι,1: doen staan naast | veroorzaken; leveren; bewijzen,verb,v-srpafd-,dative,participle
43.13.t22,"συμφορᾷ,",συμφορᾷ,συμφορά,"1: gebeurtenis, ongeluk",noun,n-s---fd-,dative,
43.13.t23,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",conjunction,c--------,,
43.13.t24,ῥᾳδίως,ῥᾳδίως,ῥᾴδιος,1: gemakkelijk,adverb,d--------,,
43.13.t25,αὐτὴν,αὐτὴν,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-s---fa-,accusative,
43.13.t26,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.13.t27,πρᾴως,πρᾴως,πρᾶος,Gött. Nachr.,adverb,d--------,,
43.13.t28,φέρεις.,φέρεις,φέρω,1: (ver)dragen,verb,v2spia---,,indicative
43.13.t29,[0],[0],,,,,,
43.14.t1,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.14.t2,γὰρ,γὰρ,γάρ,"1: want, immers, namelijk | (in levendige vragen) toch, dan?",adverb,d--------,,
43.14.t3,"ἄν,",ἄν,ἄν,1: ,adverb,d--------,,
43.14.t4,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
43.14.t5,"Κρίτων,",Κρίτων,Κρίτων,,noun,n-s---mv-,vocative,
43.14.t6,πλημμελὲς,πλημμελὲς,πλημμελής,out of tune,adjective,a-s---nn-,nominative,
43.14.t7,εἴη,εἴη,εἰμί,1: gaan,verb,v3spoa---,,optative
43.14.t8,ἀγανακτεῖν,ἀγανακτεῖν,ἀγανακτέω,feel a violent irritation,verb,v--pna---,,infinitive
43.14.t9,τηλικοῦτον,τηλικοῦτον,τηλικοῦτος,"1: zo oud, zo groot",adjective,a-s---ma-,accusative,
43.14.t10,ὄντα,ὄντα,εἰμί,1: gaan,verb,v-sppama-,accusative,participle
43.14.t11,εἰ,εἰ,εἰ,"1: als, indien, in geval | of",conjunction,c--------,,
43.14.t12,δεῖ,δεῖ,δέω,1: ,verb,v3spia---,,indicative
43.14.t13,ἤδη,ἤδη,ἤδη,"1: reeds, al | vanaf nu",adverb,d--------,,
43.14.t14,τελευτᾶν.,τελευτᾶν,τελευτάω,"bring to pass, accomplish",verb,v--pna---,,infinitive
43.15.t1,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.15.t2,"ἄλλοι,",ἄλλοι,ἄλλος,1: ander,pronoun,p-p---mn-,nominative,
43.15.t3,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
43.15.t4,"Σώκρατες,",Σώκρατες,Σωκράτης,,noun,n-s---mv-,vocative,
43.15.t5,τηλικοῦτοι,τηλικοῦτοι,τηλικοῦτος,"1: zo oud, zo groot",adjective,a-p---mn-,nominative,
43.15.t6,ἐν,ἐν,ἐν,"1: in, binnenin, temidden van",preposition,r--------,,
43.15.t7,τοιαύταις,τοιαύταις,τοιοῦτος,"1: zulke, zo´n, van die aard",pronoun,p-p---fd-,dative,
43.15.t8,συμφοραῖς,συμφοραῖς,συμφορά,"1: gebeurtenis, ongeluk",noun,n-p---fd-,dative,
43.15.t9,"ἁλίσκονται,",ἁλίσκονται,ἁλίσκομαι,"1: gevat worden, veroverd worden | betrapt worden, veroordeeld worden",verb,v3ppie---,,indicative
43.15.t10,ἀλλ’,ἀλλ’,ἀλλά,1: maar,,b--------,,
43.15.t11,οὐδὲν,οὐδὲν,οὐδείς,"1: niemand, niets",pronoun,p-s---na-,accusative,
43.15.t12,αὐτοὺς,αὐτοὺς,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-p---ma-,accusative,
43.15.t13,ἐπιλύεται,ἐπιλύεται,ἐπιλύω,"loose, untie",verb,v3spie---,,indicative
43.15.t14,ἡ,ἡ,ὁ,1: ,article,l-s---fn-,nominative,
43.15.t15,ἡλικία,ἡλικία,ἡλικία,"time of life, age",noun,n-s---fn-,nominative,
43.15.t16,τὸ,τὸ,ὁ,1: ,article,l-s---na-,accusative,
43.15.t17,μὴ,μὴ,μή,1: niet,adverb,d--------,,
43.15.t18,οὐχὶ,οὐχὶ,οὐ,1: niet,adverb,d--------,,
43.15.t19,ἀγανακτεῖν,ἀγανακτεῖν,ἀγανακτέω,feel a violent irritation,verb,v--pna---,,infinitive
43.15.t20,τῇ,τῇ,ὁ,1: ,article,l-s---fd-,dative,
43.15.t21,παρούσῃ,παρούσῃ,πάρειμι,1: aanwezig zijn,verb,v-sppafd-,dative,participle
43.15.t22,τύχῃ.,τύχῃ,τύχη,"1: toeval, lot",noun,n-s---fd-,dative,
43.16.t1,ἔστι,ἔστι,εἰμί,1: gaan,verb,v3spia---,,indicative
43.16.t2,ταῦτα.,ταῦτα,οὗτος,1: die (daar),pronoun,p-p---nn-,nominative,
43.17.t1,ἀλλὰ,ἀλλὰ,ἀλλά,1: maar,,b--------,,
43.17.t2,τί,τί,τίς,"1: wie?, welke?",pronoun,p-s---na-,accusative,
43.17.t3,δὴ,δὴ,δή,"1: al, reeds | dus, dan toch",adverb,d--------,,
43.17.t4,οὕτω,οὕτω,οὕτως,"1: zo, op die wijze",adverb,d--------,,
43.17.t5,πρῲ,πρῲ,πρωΐ,3: ´s ochtends | in het begin,adverb,d--------,,
43.17.t6,ἀφῖξαι;,ἀφῖξαι,ἀφικνέομαι,"arrive at, come to, reach:",verb,v2srie---,,indicative
43.18.t1,"ἀγγελίαν,",ἀγγελίαν,ἀγγελία,"message, tidings",noun,n-s---fa-,accusative,
43.18.t2,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
43.18.t3,"Σώκρατες,",Σώκρατες,Σωκράτης,,noun,n-s---mv-,vocative,
43.18.t4,φέρων,φέρων,φέρω,1: (ver)dragen,verb,v-sppamn-,nominative,participle
43.18.t5,"χαλεπήν,",χαλεπήν,χαλεπός,difficult,adjective,a-s---fa-,accusative,
43.18.t6,οὐ,οὐ,οὐ,1: niet,adverb,d--------,,
43.18.t7,"σοί,",σοί,σύ,"1: jij, u",,p2s---cd-,,
43.18.t8,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",conjunction,c--------,,
43.18.t9,ἐμοὶ,ἐμοὶ,ἐγώ,1: ik,,p1s---cd-,,
43.18.t10,"φαίνεται,",φαίνεται,φαίνω,"1: laten zien, tonen | schijnen",verb,v3spie---,,indicative
43.18.t11,ἀλλ’,ἀλλ’,ἀλλά,1: maar,,b--------,,
43.18.t12,ἐμοὶ,ἐμοὶ,ἐγώ,1: ik,,p1s---cd-,,
43.18.t13,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.18.t14,τοῖς,τοῖς,ὁ,1: ,article,l-p---md-,dative,
43.18.t15,σοῖς,σοῖς,σός,1: jouw,adjective,a-p---md-,dative,
43.18.t16,ἐπιτηδείοις,ἐπιτηδείοις,ἐπιτήδειος,"made for an end or purpose, fit",adjective,a-p---md-,dative,
43.18.t17,πᾶσιν,πᾶσιν,πᾶς,1: geheel | elk | alle,adjective,a-p---md-,dative,
43.18.t18,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.18.t19,χαλεπὴν,χαλεπὴν,χαλεπός,difficult,adjective,a-s---fa-,accusative,
43.18.t20,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.18.t21,"βαρεῖαν,",βαρεῖαν,βαρύς,"1: zwaar | gewichtig, lastig, streng",adjective,a-s---fa-,accusative,
43.18.t22,ἣν,ἣν,ὅς,"1: die, dat",pronoun,p-s---fa-,accusative,
43.18.t23,"ἐγώ,",ἐγώ,ἐγώ,1: ik,,p1s---cn-,,
43.18.t24,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",conjunction,c--------,,
43.18.t25,ἐμοὶ,ἐμοὶ,ἐγώ,1: ik,,p1s---cd-,,
43.18.t26,"δοκῶ,",δοκῶ,δοκέω,"1: menen, geloven, zich verbeelden | beslissen | lijken, beschouwd worden als, doorgaan voor | het lijkt iemand; iemand beslist",verb,v1spia---,,indicative
43.18.t27,ἐν,ἐν,ἐν,"1: in, binnenin, temidden van",preposition,r--------,,
43.18.t28,τοῖς,τοῖς,ὁ,1: ,article,l-p---md-,dative,
43.18.t29,βαρύτατ’,βαρύτατ’,βαρύς,"1: zwaar | gewichtig, lastig, streng",adverb,d-------s,,
43.18.t30,ἂν,ἂν,ἄν,1: ,adverb,d--------,,
43.18.t31,ἐνέγκαιμι.,ἐνέγκαιμι,φέρω,1: (ver)dragen,verb,v1saoa---,,optative
43.18.t32,[0],[0],,,,,,
43.19.t1,τίνα,τίνα,τίς,"1: wie?, welke?",,p-s---ca-,,
43.19.t2,ταύτην;,ταύτην,οὗτος,1: die (daar),pronoun,p-s---fa-,accusative,
43.19.t3,[0],[0],,,,,,
43.20.t1,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),,b--------,,
43.20.t2,τὸ,τὸ,ὁ,1: ,article,l-s---nn-,nominative,
43.20.t3,πλοῖον,πλοῖον,πλοῖον,floating vessel,noun,n-s---nn-,nominative,
43.20.t4,ἀφῖκται,ἀφῖκται,ἀφικνέομαι,"arrive at, come to, reach:",verb,v3srie---,,indicative
43.20.t5,ἐκ,ἐκ,ἐκ,1: ,preposition,r--------,,
43.20.t6,"Δήλου,",Δήλου,Δῆλος,Delos,noun,n-s---fg-,genitive,
43.20.t7,οὗ,οὗ,ὅς,"1: die, dat",pronoun,p-s---ng-,genitive,
43.20.t8,δεῖ,δεῖ,δέω,1: ,verb,v3spia---,,indicative
43.20.t9,ἀφικομένου,ἀφικομένου,ἀφικνέομαι,"arrive at, come to, reach:",verb,v-sapmng-,genitive,participle
43.20.t10,τεθνάναι,τεθνάναι,θνῄσκω,1: sterven,verb,v--rna---,,infinitive
43.20.t11,με;,με,ἐγώ,1: ik,,p1s---ca-,,
43.21.t1,οὔτοι,οὔτοι,οὔτοι,indeed not,adverb,d--------,,
43.21.t2,δὴ,δὴ,δή,"1: al, reeds | dus, dan toch",adverb,d--------,,
43.21.t3,"ἀφῖκται,",ἀφῖκται,ἀφικνέομαι,"arrive at, come to, reach:",verb,v3srie---,,indicative
43.21.t4,ἀλλὰ,ἀλλὰ,ἀλλά,1: maar,,b--------,,
43.21.t5,δοκεῖν,δοκεῖν,δοκέω,"1: menen, geloven, zich verbeelden | beslissen | lijken, beschouwd worden als, doorgaan voor | het lijkt iemand; iemand beslist",verb,v--pna---,,infinitive
43.21.t6,μέν,μέν,μέν,1: wel...,adverb,d--------,,
43.21.t7,μοι,μοι,ἐγώ,1: ik,,p1s---cd-,,
43.21.t8,ἥξει,ἥξει,ἥκω,1: gekomen zijn,verb,v3sfia---,,indicative
43.21.t9,τήμερον,τήμερον,σήμερον,to-day,adverb,d--------,,
43.21.t10,ἐξ,ἐξ,ἐκ,1: ,preposition,r--------,,
43.21.t11,ὧν,ὧν,ὅς,"1: die, dat",pronoun,p-p---ng-,genitive,
43.21.t12,ἀπαγγέλλουσιν,ἀπαγγέλλουσιν,ἀπαγγέλλω,"bring tidings, report",verb,v3ppia---,,indicative
43.21.t13,ἥκοντές,ἥκοντές,ἥκω,1: gekomen zijn,verb,v-pppamn-,nominative,participle
43.21.t14,τινες,τινες,τις,"1: wie?, welke?",,p-p---cn-,,
43.21.t15,ἀπὸ,ἀπὸ,ἀπό,"1: van, vanaf; sinds",preposition,r--------,,
43.21.t16,Σουνίου,Σουνίου,Σούνιον,,noun,n-s---ng-,genitive,
43.21.t17,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.21.t18,καταλιπόντες,καταλιπόντες,καταλείπω,leave behind,verb,v-papamn-,nominative,participle
43.21.t19,ἐκεῖ,ἐκεῖ,ἐκεῖ,1: daar,adverb,d--------,,
43.21.t20,αὐτό.,αὐτό,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-s---na-,accusative,
43.21.t21,[0],[0],,,,,,
43.22.t1,δῆλον,δῆλον,δῆλος,"visible, conspicuous",adjective,a-s---nn-,nominative,
43.22.t2,οὖν,οὖν,οὖν,1: dus,adverb,d--------,,
43.22.t3,ἐκ,ἐκ,ἐκ,1: ,preposition,r--------,,
43.22.t4,τούτων,τούτων,οὗτος,1: die (daar),pronoun,p-p---mg-,genitive,
43.22.t5,τῶν,τῶν,ὁ,1: ,article,l-p---mg-,genitive,
43.22.t6,ἀγγέλων,ἀγγέλων,ἄγγελος,"messenger, envoy",noun,n-p---mg-,genitive,
43.22.t7,ὅτι,ὅτι,ὅτι,"1: omdat, dat",conjunction,c--------,,
43.22.t8,ἥξει,ἥξει,ἥκω,1: gekomen zijn,verb,v3sfia---,,indicative
43.22.t9,"τήμερον,",τήμερον,σήμερον,to-day,adverb,d--------,,
43.22.t10,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
43.22.t11,ἀνάγκη,ἀνάγκη,ἀνάγκη,"force, constraint, necessity",noun,n-s---fn-,nominative,
43.22.t12,δὴ,δὴ,δή,"1: al, reeds | dus, dan toch",adverb,d--------,,
43.22.t13,εἰς,εἰς,εἰς,1: naar binnen | in | tot aan; tegen,preposition,r--------,,
43.22.t14,αὔριον,αὔριον,αὔριον,to-morrow,adverb,d--------,,
43.22.t15,"ἔσται,",ἔσται,εἰμί,1: gaan,verb,v3sfim---,,indicative
43.22.t16,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
43.22.t17,"Σώκρατες,",Σώκρατες,Σωκράτης,,noun,n-s---mv-,vocative,
43.22.t18,τὸν,τὸν,ὁ,1: ,article,l-s---ma-,accusative,
43.22.t19,βίον,βίον,βίος,"1: leven, levenswijze | levensonderhoud",noun,n-s---ma-,accusative,
43.22.t20,σε,σε,σύ,"1: jij, u",,p2s---ca-,,
43.22.t21,τελευτᾶν.,τελευτᾶν,τελευτάω,"bring to pass, accomplish",verb,v--pna---,,infinitive
43.22.t22,[0],[0],,,,,,
43.23.t1,"ἀλλ’,",ἀλλ’,ἀλλά,1: maar,,b--------,,
43.23.t2,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
43.23.t3,"Κρίτων,",Κρίτων,Κρίτων,,noun,n-s---mv-,vocative,
43.23.t4,τύχῃ,τύχῃ,τύχη,"1: toeval, lot",noun,n-s---fd-,dative,
43.23.t5,"ἀγαθῇ,",ἀγαθῇ,ἀγαθός,"1: goed, edel",adjective,a-s---fd-,dative,
43.23.t6,εἰ,εἰ,εἰ,"1: als, indien, in geval | of",conjunction,c--------,,
43.23.t7,ταύτῃ,ταύτῃ,ταύτῃ,,adverb,d--------,,
43.23.t8,τοῖς,τοῖς,ὁ,1: ,article,l-p---md-,dative,
43.23.t9,θεοῖς,θεοῖς,θεός,1: god(heid),noun,n-p---md-,dative,
43.23.t10,"φίλον,",φίλον,φίλος,1: bevriend,adjective,a-s---nn-,nominative,
43.23.t11,ταύτῃ,ταύτῃ,ταύτῃ,,adverb,d--------,,
43.23.t12,ἔστω·,ἔστω,εἰμί,1: gaan,verb,v3spma---,,imperative
43.23.t13,[0],[0],,,,,,
43.23.t14,[1],[1],,,,,,
43.24.t1,οὐ,οὐ,οὐ,1: niet,adverb,d--------,,
43.24.t2,μέντοι,μέντοι,μέντοι,"1: nochtans, en toch | zeker, beslist",adverb,d--------,,
43.24.t3,οἶμαι,οἶμαι,οἴομαι,"1: menen, geloven, veronderstellen",verb,v1spie---,,indicative
43.24.t4,ἥξειν,ἥξειν,ἥκω,1: gekomen zijn,verb,v--fna---,,infinitive
43.24.t5,αὐτὸ,αὐτὸ,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-s---na-,accusative,
43.24.t6,τήμερον.,τήμερον,σήμερον,to-day,adverb,d--------,,
44.25.t1,πόθεν,πόθεν,πόθεν,1: vanwaar? | op welke wijze?,adverb,d--------,,
44.25.t2,τοῦτο,τοῦτο,οὗτος,1: die (daar),pronoun,p-s---na-,accusative,
44.25.t3,τεκμαίρῃ;,τεκμαίρῃ,τεκμαίρομαι,"assign, ordain",verb,v2spie---,,indicative
44.26.t1,ἐγώ,ἐγώ,ἐγώ,1: ik,,p1s---cn-,,
