ve_ref,value,word_value,lemma,gloss,part_of_speech,tag,case,mood
46.83.t18,"ἐλέγετο,",ἐλέγετο,λέγω,"1: spreken, zeggen | verzamelen",verb,v3siie---,,indicative
46.83.t19,ἦν,ἦν,εἰμί,1: gaan,verb,v3siia---,,indicative
46.83.t20,δὲ,δὲ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
46.83.t21,παιδιὰ,παιδιὰ,παιδιά,"childish play, pastime, amusement",noun,n-s---fn-,nominative,
46.83.t22,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
46.83.t23,φλυαρία,φλυαρία,φλυαρία,"nonsense, foolery",noun,n-s---fn-,nominative,
46.83.t24,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",conjunction,c--------,,
46.83.t25,ἀληθῶς;,ἀληθῶς,ἀληθής,"1: waar, echt",adverb,d--------,,
46.84.t1,ἐπιθυμῶ,ἐπιθυμῶ,ἐπιθυμέω,1: verlangen,verb,v1spia---,,indicative
46.84.t2,δ’,δ’,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
46.84.t3,ἔγωγ’,ἔγωγ’,ἐγώ,1: ik,,p1s---cn-,,
46.84.t4,"ἐπισκέψασθαι,",ἐπισκέψασθαι,ἐπισκοπέω,"look upon or at, inspect, observe",verb,v--anm---,,infinitive
46.84.t5,ὦ,ὦ,ὦ,1: (blijft onvertaald),interjection,i--------,,
46.84.t6,"Κρίτων,",Κρίτων,Κρίτων,,noun,n-s---mv-,vocative,
46.84.t7,κοινῇ,κοινῇ,κοινῇ,,adverb,d--------,,
46.84.t8,μετὰ,μετὰ,μετά,1: met | na,preposition,r--------,,
46.84.t9,σοῦ,σοῦ,σύ,"1: jij, u",,p2s---cg-,,
46.84.t10,εἴ,εἴ,εἰ,"1: als, indien, in geval | of",conjunction,c--------,,
46.84.t11,τί,τί,τις,"1: wie?, welke?",pronoun,p-s---nn-,nominative,
46.84.t12,μοι,μοι,ἐγώ,1: ik,,p1s---cd-,,
46.84.t13,ἀλλοιότερος,ἀλλοιότερος,ἀλλοῖος,"of another sort or kind, different",adjective,a-s---mnc,nominative,
46.84.t14,"φανεῖται,",φανεῖται,φαίνω,"1: laten zien, tonen | schijnen",verb,v3sfim---,,indicative
46.84.t15,ἐπειδὴ,ἐπειδὴ,ἐπειδή,,conjunction,c--------,,
46.84.t16,ὧδε,ὧδε,ὧδε,1: zo,adverb,d--------,,
46.84.t17,"ἔχω,",ἔχω,ἔχω,"1: hebben, houden | iets zijn | zich vastklampen",verb,v1spia---,,indicative
46.84.t18,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),conjunction,c--------,,
46.84.t19,ὁ,ὁ,ὁ,1: ,article,l-s---mn-,nominative,
46.84.t20,"αὐτός,",αὐτός,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-s---mn-,nominative,
46.84.t21,καὶ,καὶ,καί,"1: en | ook, zelfs",,b--------,,
46.84.t22,ἐάσομεν,ἐάσομεν,ἐάω,"1: laten --> toelaten,gedogen | met rust laten | in de steek laten | nalaten, ophouden",verb,v1pfia---,,indicative
46.84.t23,χαίρειν,χαίρειν,χαίρω,"1: zich verheugen, iets graag doen",verb,v--pna---,,infinitive
46.84.t24,ἢ,ἢ,ἤ,1: zeker | werkelijk (partikel in een directe vraag),conjunction,c--------,,
46.84.t25,πεισόμεθα,πεισόμεθα,πείθω,1: overtuiging,verb,v1pfim---,,indicative
46.84.t26,αὐτῷ.,αὐτῷ,αὐτός,"1: zelf | (in afhankelijke naamvallen) hem, haar, hen",pronoun,p-s---nd-,dative,
46.85.t1,ἐλέγετο,ἐλέγετο,λέγω,"1: spreken, zeggen | verzamelen",verb,v3siie---,,indicative
46.85.t2,δέ,δέ,δέ,"1: en, echter (leidt een tegenstelling of een verbinding in, blijft vaak onvertaald)",adverb,d--------,,
46.85.t3,"πως,",πως,πως,1: hoe?,adverb,d--------,,
46.85.t4,ὡς,ὡς,ὡς,"1: zoals, zodra, omdat, opdat, zodat  | dat",conjunction,c--------,,
46.85.t5,"ἐγᾦμαι,",ἐγᾦμαι,οἴομαι,"1: menen, geloven, veronderstellen",verb,v1spie---,,indicative
46.85.t6,ἑκάστοτε,ἑκάστοτε,ἑκάστοτε,"each time, on each occasion",adverb,d--------,,
46.85.t7,ὧδε,ὧδε,ὧδε,1: zo,adverb,d--------,,
46.85.t8,ὑπὸ,ὑπὸ,ὑπό,"1: onder; onder invloed van, door toedoen van | onder, in de macht van | tot onder",preposition,r--------,,
46.85.t9,τῶν,τῶν,ὁ,1: ,article,l-p---mg-,genitive,
46.85.t10,οἰομένων,οἰομένων,οἴομαι,"1: menen, geloven, veronderstellen",verb,v-pppemg-,genitive,participle
46.85.t11,τὶ,τὶ,τις,"1: wie?, welke?",pronoun,p-s---na-,accusative,
46.85.t12,"λέγειν,",λέγειν,λέγω,"1: spreken, zeggen | verzamelen",verb,v--pna---,,infinitive
46.85.t13,ὥσπερ,ὥσπερ,ὥσπερ,1: zoals,conjunction,c--------,,
46.85.t14,νυνδὴ,νυνδὴ,νυνδί,,adverb,d--------,,
46.85.t15,ἐγὼ,ἐγὼ,ἐγώ,1: ik,,p1s---cn-,,
46.85.t16,"ἔλεγον,",ἔλεγον,λέγω,"1: spreken, zeggen | verzamelen",verb,v1siia---,,indicative
46.85.t17,ὅτι,ὅτι,ὅτι,"1: omdat, dat",conjunction,c--------,,
46.85.t18,τῶν,τῶν,ὁ,1: ,article,l-p---fg-,genitive,
46.85.t19,δοξῶν,δοξῶν,δόξα,expectation,noun,n-p---fg-,genitive,
46.85.t20,ἃς,ἃς,ὅς,"1: die, dat",pronoun,p-p---fa-,accusative,
46.85.t21,οἱ,οἱ,ὁ,1: ,article,l-p---mn-,nominative,
46.85.t22,ἄνθρωποι,ἄνθρωποι,ἄνθρωπος,1: mens,noun,n-p---mn-,nominative,
46.85.t23,δοξάζουσιν,δοξάζουσιν,δοξάζω,"think, imagine",verb,v3ppia---,,indicative
46.85.t24,δέοι,δέοι,δέω,1: ,verb,v3spoa---,,optative
46.85.t25,τὰς,τὰς,ὁ,1: ,article,l-p---fa-,accusative,
46.85.t26,μὲν,μὲν,μέν,1: wel...,adverb,d--------,,
