ve_ref,value,word_value,lemma,part_of_speech,gloss (eng),parse,tag
1.t63,αὐτοῦ,αὐτοῦ,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,GEN.SG M,a-s---mg-
1.t64,φαίνεται,φαίνεται,φαίνω,VERB,"to bring to light, make to appear",PRES MID 3SG IND,v3spie---
1.t65,εἶναι,εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
1.t66,ἡ,ἡ,ὁ,ART,the,NOM.SG F,l-s---fn-
1.t67,μεγαληγορία.,μεγαληγορία,μεγαληγορία,NOUN,big talking,NOM.SG F,n-s---fn-
10.t1,οὕτως,οὕτως,οὕτως,ADV,"so, in this manner",INDECL,d--------
10.t2,δὲ,δὲ,δέ,,but,INDECL,b--------
10.t3,γνόντα,γνόντα,γιγνώσκω,VERB,"to learn to know, to perceive, mark, learn",AOR ACT ACC.SG M PTCP,v-sapama-
10.t4,αὐτὸν,αὐτὸν,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,ACC.SG M,a-s---ma-
10.t5,ἔφη,ἔφη,φημί,VERB,"to say, to claim",IMPRF ACT 3SG IND,v3siia---
10.t6,"[εἰπεῖν],",εἰπεῖν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT INF,v--ana---
10.t7,ἐπειδὴ,ἐπειδὴ,ἐπειδή,CONJ,,INDECL,c--------
10.t8,κατηγόρησαν,κατηγόρησαν,κατηγορέω,VERB,"to speak against, to accuse",AOR ACT 3PL IND,v3paia---
10.t9,αὐτοῦ,αὐτοῦ,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,GEN.SG M,a-s---mg-
10.t10,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
10.t11,ἀντίδικοι,ἀντίδικοι,ἀντίδικος,ADJ,"an opponent in a suit, defendant",NOM.PL M,a-p---mn-
10.t12,ὡς,ὡς,ὡς,CONJ,"as, how",INDECL,c--------
10.t13,οὓς,οὓς,ὅς,PRONOUN,"who, that, which: relative pronoun",ACC.PL M,p-p---ma-
10.t14,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
10.t15,ἡ,ἡ,ὁ,ART,the,NOM.SG F,l-s---fn-
10.t16,πόλις,πόλις,πόλις,NOUN,a city,NOM.SG F,n-s---fn-
10.t17,νομίζει,νομίζει,νομίζω,VERB,to have as a custom; to believe,PRES ACT 3SG IND,v3spia---
10.t18,θεοὺς,θεοὺς,θεός,NOUN,god,ACC.PL M,n-p---ma-
10.t19,οὐ,οὐ,οὐ,ADV,not,INDECL,d--------
10.t20,"νομίζοι,",νομίζοι,νομίζω,VERB,to have as a custom; to believe,PRES ACT 3SG OPT,v3spoa---
10.t21,ἕτερα,ἕτερα,ἕτερος,ADJ,the one; the other (of two),ACC.PL N,a-p---na-
10.t22,δὲ,δὲ,δέ,,but,INDECL,b--------
10.t23,καινὰ,καινὰ,καινός,ADJ,"new, fresh",ACC.PL N,a-p---na-
10.t24,δαιμόνια,δαιμόνια,δαιμόνιον,NOUN,"divine being, spirit",ACC.PL N,n-p---na-
10.t25,εἰσφέροι,εἰσφέροι,εἰσφέρω,VERB,"to bring in, to propose (a question, a law), to pay tax (εἰσφορά)",PRES ACT 3SG OPT,v3spoa---
10.t26,καὶ,καὶ,καί,,"and, also",INDECL,b--------
10.t27,τοὺς,τοὺς,ὁ,ART,the,ACC.PL M,l-p---ma-
10.t28,νέους,νέους,νέος,ADJ,"young, youthful",ACC.PL M,a-p---ma-
10.t29,"διαφθείροι,",διαφθείροι,διαφθείρω,VERB,"to destroy, ruin; to corrupt",PRES ACT 3SG OPT,v3spoa---
10.t30,παρελθόντα,παρελθόντα,παρέρχομαι,VERB,"to go by, beside",AOR ACT ACC.SG M PTCP,v-sapama-
10.t31,εἰπεῖν·,εἰπεῖν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT INF,v--ana---
11.t1,ἀλλʼ,ἀλλʼ,ἀλλά,,"otherwise, but",INDECL,b--------
11.t2,"ἐγώ,",ἐγώ,ἐγώ,PRONOUN,I (first person pronoun),NOM.SG c,p-s---cn-
11.t3,ὦ,ὦ,ὦ,INTJ,O! oh!,INDECL,i--------
11.t4,"ἄνδρες,",ἄνδρες,ἀνήρ,NOUN,a man,VOC.PL M,n-p---mv-
11.t5,τοῦτο,τοῦτο,οὗτος,ADJ,this; that,ACC.SG N,a-s---na-
11.t6,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
11.t7,πρῶτον,πρῶτον,πρῶτος,ADJ,first,ACC.SG N,a-s---na-
11.t8,θαυμάζω,θαυμάζω,θαυμάζω,VERB,"to wonder, marvel, be astonished",PRES ACT 1SG IND,v1spia---
11.t9,"Μελήτου,",Μελήτου,Μέλητος,NOUN,Meletus,GEN.SG M,n-s---mg-
11.t10,ὅτῳ,ὅτῳ,ὅστις,PRONOUN,indef. relative or indirect interrogative,DAT.SG M,p-s---md-
11.t11,ποτὲ,ποτὲ,ποτέ,ADV,"ever, sometime",INDECL,d--------
11.t12,γνοὺς,γνοὺς,γιγνώσκω,VERB,"to learn to know, to perceive, mark, learn",AOR ACT NOM.SG M PTCP,v-sapamn-
11.t13,λέγει,λέγει,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",PRES ACT 3SG IND,v3spia---
11.t14,ὡς,ὡς,ὡς,CONJ,"as, how",INDECL,c--------
11.t15,ἐγὼ,ἐγὼ,ἐγώ,PRONOUN,I (first person pronoun),NOM.SG c,p-s---cn-
11.t16,οὓς,οὓς,ὅς,PRONOUN,"who, that, which: relative pronoun",ACC.PL M,p-p---ma-
11.t17,ἡ,ἡ,ὁ,ART,the,NOM.SG F,l-s---fn-
11.t18,πόλις,πόλις,πόλις,NOUN,a city,NOM.SG F,n-s---fn-
11.t19,νομίζει,νομίζει,νομίζω,VERB,to have as a custom; to believe,PRES MID 2SG IND,v2spie---
11.t20,θεοὺς,θεοὺς,θεός,NOUN,god,ACC.PL M,n-p---ma-
11.t21,οὐ,οὐ,οὐ,ADV,not,INDECL,d--------
11.t22,νομίζω·,νομίζω,νομίζω,VERB,to have as a custom; to believe,PRES ACT 1SG IND,v1spia---
11.t23,ἐπεὶ,ἐπεὶ,ἐπεί,CONJ,"after, since, when",INDECL,c--------
11.t24,θύοντά,θύοντά,θύω,VERB,to sacrifice,PRES ACT ACC.SG M PTCP,v-sppama-
11.t25,γέ,γέ,γε,ADV,"at least, at any rate",INDECL,d--------
11.t26,με,με,ἐγώ,PRONOUN,I (first person pronoun),ACC.SG c,p-s---ca-
11.t27,ἐν,ἐν,ἐν,PREP,"in, among. c. dat.",INDECL,r--------
11.t28,ταῖς,ταῖς,ὁ,ART,the,DAT.PL F,l-p---fd-
