ve_ref,value,word_value,lemma,part_of_speech,gloss (eng),parse,tag
13.t67,μὴν,μὴν,μήν,ADV,"now verily, full surely",INDECL,d--------
13.t68,οὐ,οὐ,οὐ,ADV,not,INDECL,d--------
13.t69,ψεύδομαι,ψεύδομαι,ψεύδω,VERB,"to cheat by lies, beguile",PRES MID 1SG IND,v1spie---
13.t70,κατὰ,κατὰ,κατά,PREP,"down, against with gen.; according to, throughout with acc.",INDECL,r--------
13.t71,τοῦ,τοῦ,ὁ,ART,the,GEN.SG M,l-s---mg-
13.t72,θεοῦ,θεοῦ,θεός,NOUN,god,GEN.SG M,n-s---mg-
13.t73,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t74,τοῦτʼ,τοῦτʼ,οὗτος,ADJ,this; that,ACC.SG N,a-s---na-
13.t75,ἔχω,ἔχω,ἔχω,VERB,"have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)",PRES ACT 1SG IND,v1spia---
13.t76,τεκμήριον·,τεκμήριον,τεκμήριον,NOUN,a sure sign,ACC.SG N,n-s---na-
13.t77,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t78,γὰρ,γὰρ,γάρ,ADV,for,INDECL,d--------
13.t79,τῶν,τῶν,ὁ,ART,the,GEN.PL M,l-p---mg-
13.t80,φίλων,φίλων,φίλος,ADJ,"friend; loved, beloved, dear",GEN.PL M,a-p---mg-
13.t81,πολλοῖς,πολλοῖς,πολύς,ADJ,"much, many",DAT.PL M,a-p---md-
13.t82,δὴ,δὴ,δή,ADV,[interactional particle: S&H on same page],INDECL,d--------
13.t83,ἐξαγγείλας,ἐξαγγείλας,ἐξαγγέλλω,VERB,to send out,AOR ACT NOM.SG M PTCP,v-sapamn-
13.t84,τὰ,τὰ,ὁ,ART,the,ACC.PL N,l-p---na-
13.t85,τοῦ,τοῦ,ὁ,ART,the,GEN.SG M,l-s---mg-
13.t86,θεοῦ,θεοῦ,θεός,NOUN,god,GEN.SG M,n-s---mg-
13.t87,συμβουλεύματα,συμβουλεύματα,συμβούλευμα,NOUN,advice given,ACC.PL N,n-p---na-
13.t88,οὐδεπώποτε,οὐδεπώποτε,οὐδεπώποτε,ADV,"nor yet at any time, never yet at any time",INDECL,d--------
13.t89,ψευσάμενος,ψευσάμενος,ψεύδω,VERB,"to cheat by lies, beguile",AOR MID NOM.SG M PTCP,v-sapmmn-
13.t90,ἐφάνην.,ἐφάνην,φαίνω,VERB,"to bring to light, make to appear",AOR PASS 1SG IND,v1saip---
14.t1,ἐπεὶ,ἐπεὶ,ἐπεί,CONJ,"after, since, when",INDECL,c--------
14.t2,δὲ,δὲ,δέ,,but,INDECL,b--------
14.t3,ταῦτα,ταῦτα,οὗτος,ADJ,this; that,ACC.PL N,a-p---na-
14.t4,ἀκούοντες,ἀκούοντες,ἀκούω,VERB,to hear,PRES ACT NOM.PL M PTCP,v-pppamn-
14.t5,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
14.t6,δικασταὶ,δικασταὶ,δικαστής,NOUN,a judge,NOM.PL M,n-p---mn-
14.t7,"ἐθορύβουν,",ἐθορύβουν,θορυβέω,VERB,to make a noise,IMPRF ACT 3PL IND,v3piia---
14.t8,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
14.t9,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
14.t10,ἀπιστοῦντες,ἀπιστοῦντες,ἀπιστέω,VERB,"to disbelieve, distrust; to disobey",PRES ACT NOM.PL M PTCP,v-pppamn-
14.t11,τοῖς,τοῖς,ὁ,ART,the,DAT.PL N,l-p---nd-
14.t12,"λεγομένοις,",λεγομένοις,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",PRES MID DAT.PL N PTCP,v-pppend-
14.t13,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
14.t14,δὲ,δὲ,δέ,,but,INDECL,b--------
14.t15,καὶ,καὶ,καί,,"and, also",INDECL,b--------
14.t16,"φθονοῦντες,",φθονοῦντες,φθονέω,VERB,to bear ill-will,PRES ACT NOM.PL M PTCP,v-pppamn-
14.t17,εἰ,εἰ,εἰ,CONJ,"conj. if, whether; part. w/wishes, adv. w/imperatives",INDECL,c--------
14.t18,καὶ,καὶ,καί,,"and, also",INDECL,b--------
14.t19,παρὰ,παρὰ,παρά,PREP,"from the side of, c. gen., beside, alongside of, c. dat., to the side of, motion alongside of, c. acc.",INDECL,r--------
14.t20,θεῶν,θεῶν,θεός,NOUN,god,GEN.PL M,n-p---mg-
14.t21,μειζόνων,μειζόνων,μέγας,ADJ,"big, great",GEN.PL N COMP,a-p---ngc
14.t22,ἢ,ἢ,ἤ,,either..or; than,INDECL,b--------
14.t23,αὐτοὶ,αὐτοὶ,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,NOM.PL M,a-p---mn-
14.t24,"τυγχάνοι,",τυγχάνοι,τυγχάνω,VERB,"(with gen.) to hit the mark, to get; (with pple) to happen to, to actually",PRES ACT 3SG OPT,v3spoa---
14.t25,πάλιν,πάλιν,πάλιν,ADV,"back, backwards",INDECL,d--------
14.t26,εἰπεῖν,εἰπεῖν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT INF,v--ana---
14.t27,τὸν,τὸν,ὁ,ART,the,ACC.SG M,l-s---ma-
14.t28,Σωκράτην·,Σωκράτην,Σωκράτης,NOUN,Socrates,ACC.SG M,n-s---ma-
14.t29,ἄγε,ἄγε,ἄγω,VERB,to lead,PRES ACT 2SG IMP,v2spma---
14.t30,δὴ,δὴ,δή,ADV,[interactional particle: S&H on same page],INDECL,d--------
14.t31,ἀκούσατε,ἀκούσατε,ἀκούω,VERB,to hear,AOR ACT 2PL IMP,v2pama---
14.t32,καὶ,καὶ,καί,,"and, also",INDECL,b--------
14.t33,"ἄλλα,",ἄλλα,ἄλλος,ADJ,"other, another",ACC.PL N,a-p---na-
14.t34,ἵνα,ἵνα,ἵνα,CONJ,in order that (conj.); where (rel. adv.),INDECL,c--------
14.t35,ἔτι,ἔτι,ἔτι,ADV,"yet, as yet, still, besides",INDECL,d--------
14.t36,μᾶλλον,μᾶλλον,μάλα,ADV,"very, very much, exceedingly",@@@ -------c,d-------c
14.t37,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
14.t38,βουλόμενοι,βουλόμενοι,βούλομαι,VERB,"to will, wish, be willing",PRES MID NOM.PL M PTCP,v-pppemn-
14.t39,ὑμῶν,ὑμῶν,σύ,PRONOUN,you (personal pronoun),GEN.PL c,p-p---cg-
14.t40,ἀπιστῶσι,ἀπιστῶσι,ἀφίστημι,VERB,"to put away, remove; (mid.) revolt",PRES ACT 3PL IND,v3ppia---
14.t41,τῷ,τῷ,ὁ,ART,the,DAT.SG M,l-s---md-
14.t42,ἐμὲ,ἐμὲ,ἐγώ,PRONOUN,I (first person pronoun),ACC.SG c,p-s---ca-
14.t43,τετιμῆσθαι,τετιμῆσθαι,τιμάω,VERB,to honor; to value something at a price (gen.),PRF MID INF,v--rne---
14.t44,ὑπὸ,ὑπὸ,ὑπό,PREP,"from under, by, c. gen. under, c. dat., towards c. acc.",INDECL,r--------
14.t45,δαιμόνων.,δαιμόνων,δαίμων,NOUN,god; divine power,GEN.PL M,n-p---mg-
14.t46,Χαιρεφῶντος,Χαιρεφῶντος,Χαιρεφῶν,NOUN,Chaerephon,GEN.SG M,n-s---mg-
14.t47,γάρ,γάρ,γάρ,ADV,for,INDECL,d--------
14.t48,ποτε,ποτε,ποτέ,ADV,"ever, sometime",INDECL,d--------
14.t49,ἐπερωτῶντος,ἐπερωτῶντος,ἐπερωτάω,VERB,"to inquire of, question, consult",PRES ACT GEN.SG M PTCP,v-sppamg-
14.t50,ἐν,ἐν,ἐν,PREP,"in, among. c. dat.",INDECL,r--------
14.t51,Δελφοῖς,Δελφοῖς,Δελφοί,NOUN,Delphi; Delphians,DAT.PL M,n-p---md-
14.t52,περὶ,περὶ,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
14.t53,ἐμοῦ,ἐμοῦ,ἐγώ,PRONOUN,I (first person pronoun),GEN.SG c,p-s---cg-
14.t54,πολλῶν,πολλῶν,πολύς,ADJ,"much, many",GEN.PL N,a-p---ng-
14.t55,παρόντων,παρόντων,πάρειμι,VERB,be present,PRES ACT GEN.PL N PTCP,v-pppang-
14.t56,ἀνεῖλεν,ἀνεῖλεν,ἀναιρέω,VERB,to take up; to destroy,AOR ACT 3SG IND,v3saia---
14.t57,ὁ,ὁ,ὁ,ART,the,NOM.SG M,l-s---mn-
14.t58,Ἀπόλλων,Ἀπόλλων,Ἀπόλλων,NOUN,Apollo,NOM.SG M,n-s---mn-
14.t59,μηδένα,μηδένα,μηδείς,ADJ,"(and not one); not one, no-one",ACC.SG M,a-s---ma-
14.t60,εἶναι,εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
14.t61,ἀνθρώπων,ἀνθρώπων,ἄνθρωπος,NOUN,"man, person, human",GEN.PL M,n-p---mg-
14.t62,ἐμοῦ,ἐμοῦ,ἐγώ,PRONOUN,I (first person pronoun),GEN.SG c,p-s---cg-
14.t63,μήτε,μήτε,μήτε,,neither / nor,INDECL,b--------
14.t64,ἐλευθεριώτερον,ἐλευθεριώτερον,ἐλευθέριος,ADJ,speaking or acting like a free man,ACC.SG N COMP,a-s---nac
14.t65,μήτε,μήτε,μήτε,,neither / nor,INDECL,b--------
14.t66,δικαιότερον,δικαιότερον,δίκαιος,ADJ,"just, observant of custom, correct, balanced",ACC.SG N COMP,a-s---nac
14.t67,μήτε,μήτε,μήτε,,neither / nor,INDECL,b--------
14.t68,σωφρονέστερον.,σωφρονέστερον,σώφρων,ADJ,of sound mind,ACC.SG N COMP,a-s---nac
15.t1,ὡς,ὡς,ὡς,CONJ,"as, how",INDECL,c--------
15.t2,δʼ,δʼ,δέ,,but,INDECL,b--------
15.t3,αὖ,αὖ,αὖ,ADV,"again, anew, afresh, once more",INDECL,d--------
15.t4,ταῦτʼ,ταῦτʼ,οὗτος,ADJ,this; that,ACC.PL N,a-p---na-
15.t5,ἀκούσαντες,ἀκούσαντες,ἀκούω,VERB,to hear,AOR ACT NOM.PL M PTCP,v-papamn-
15.t6,οἱ,οἱ,ὁ,ART,the,NOM.PL M,l-p---mn-
15.t7,δικασταὶ,δικασταὶ,δικαστής,NOUN,a judge,NOM.PL M,n-p---mn-
15.t8,ἔτι,ἔτι,ἔτι,ADV,"yet, as yet, still, besides",INDECL,d--------
15.t9,μᾶλλον,μᾶλλον,μάλα,ADV,"very, very much, exceedingly",@@@ -------c,d-------c
15.t10,εἰκότως,εἰκότως,εἰκότως,ADV,"in all likelihood, suitably, fairly, reasonably, naturally",INDECL,d--------
15.t11,"ἐθορύβουν,",ἐθορύβουν,θορυβέω,VERB,to make a noise,IMPRF ACT 3PL IND,v3piia---
15.t12,αὖθις,αὖθις,αὖθις,ADV,"back, back again",INDECL,d--------
15.t13,εἰπεῖν,εἰπεῖν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT INF,v--ana---
15.t14,τὸν,τὸν,ὁ,ART,the,ACC.SG M,l-s---ma-
15.t15,Σωκράτην·,Σωκράτην,Σωκράτης,NOUN,Socrates,ACC.SG M,n-s---ma-
15.t16,ἀλλὰ,ἀλλὰ,ἀλλά,,"otherwise, but",INDECL,b--------
15.t17,μείζω,μείζω,μέγας,ADJ,"big, great",ACC.PL N COMP,a-p---nac
15.t18,"μέν,",μέν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
15.t19,ὦ,ὦ,ὦ,INTJ,O! oh!,INDECL,i--------
15.t20,"ἄνδρες,",ἄνδρες,ἀνήρ,NOUN,a man,VOC.PL M,n-p---mv-
15.t21,εἶπεν,εἶπεν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT 3SG IND,v3saia---
15.t22,ὁ,ὁ,ὁ,ART,the,NOM.SG M,l-s---mn-
15.t23,θεὸς,θεὸς,θεός,NOUN,god,NOM.SG M,n-s---mn-
15.t24,ἐν,ἐν,ἐν,PREP,"in, among. c. dat.",INDECL,r--------
15.t25,χρησμοῖς,χρησμοῖς,χρησμός,NOUN,"the answer of an oracle, oracular response, oracle",DAT.PL M,n-p---md-
15.t26,περὶ,περὶ,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
15.t27,Λυκούργου,Λυκούργου,Λυκοῦργος,NOUN,Lycurgus,GEN.SG M,n-s---mg-
15.t28,τοῦ,τοῦ,ὁ,ART,the,GEN.SG M,l-s---mg-
15.t29,Λακεδαιμονίοις,Λακεδαιμονίοις,Λακεδαιμόνιος,ADJ,Spartan,DAT.PL M,a-p---md-
15.t30,νομοθετήσαντος,νομοθετήσαντος,νομοθετέω,VERB,to make law,AOR ACT GEN.SG M PTCP,v-sapamg-
15.t31,ἢ,ἢ,ἤ,,either..or; than,INDECL,b--------
15.t32,περὶ,περὶ,περί,PREP,"around, round about with gen., dat., and acc.",INDECL,r--------
15.t33,ἐμοῦ.,ἐμοῦ,ἐγώ,PRONOUN,I (first person pronoun),GEN.SG c,p-s---cg-
15.t34,λέγεται,λέγεται,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",PRES MID 3SG IND,v3spie---
15.t35,γὰρ,γὰρ,γάρ,ADV,for,INDECL,d--------
15.t36,εἰς,εἰς,εἰς,PREP,"into, to c. acc.",INDECL,r--------
15.t37,τὸν,τὸν,ὁ,ART,the,ACC.SG M,l-s---ma-
15.t38,ναὸν,ναὸν,ναός,NOUN,"the dwelling of a god, a temple",ACC.SG M,n-s---ma-
15.t39,εἰσιόντα,εἰσιόντα,εἰσέρχομαι,VERB,to go in,PRES ACT ACC.SG M PTCP,v-sppama-
15.t40,προσειπεῖν,προσειπεῖν,προσλέγω,VERB,to speak to,AOR ACT INF,v--ana---
15.t41,αὐτόν·,αὐτόν,αὐτός,ADJ,unemph. 3rd pers.pronoun; -self; [the] same ,ACC.SG M,a-s---ma-
15.t42,φροντίζω,φροντίζω,φροντίζω,VERB,"to think, consider, reflect, take thought, have a care, give heed",PRES ACT 1SG IND,v1spia---
15.t43,πότερα,πότερα,πότερον,ADV,whether,INDECL,d--------
15.t44,θεόν,θεόν,θεός,NOUN,god,ACC.SG M,n-s---ma-
15.t45,σε,σε,σύ,PRONOUN,you (personal pronoun),ACC.SG c,p-s---ca-
15.t46,εἴπω,εἴπω,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT 1SG SBJV,v1sasa---
15.t47,ἢ,ἢ,ἤ,,either..or; than,INDECL,b--------
15.t48,ἄνθρωπον.,ἄνθρωπον,ἄνθρωπος,NOUN,"man, person, human",ACC.SG M,n-s---ma-
15.t49,ἐμὲ,ἐμὲ,ἐγώ,PRONOUN,I (first person pronoun),ACC.SG c,p-s---ca-
15.t50,δὲ,δὲ,δέ,,but,INDECL,b--------
15.t51,θεῷ,θεῷ,θεός,NOUN,god,DAT.SG M,n-s---md-
15.t52,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
15.t53,οὐκ,οὐκ,οὐ,ADV,not,INDECL,d--------
15.t54,"εἴκασεν,",εἴκασεν,εἰκάζω,VERB,"to make like to, represent by a likeness, portray",AOR ACT 3SG IND,v3saia---
15.t55,ἀνθρώπων,ἀνθρώπων,ἄνθρωπος,NOUN,"man, person, human",GEN.PL M,n-p---mg-
15.t56,δὲ,δὲ,δέ,,but,INDECL,b--------
15.t57,πολλῷ,πολλῷ,πολύς,ADJ,"much, many",DAT.SG N,a-s---nd-
15.t58,προέκρινεν,προέκρινεν,προκρίνω,VERB,"to choose before others, choose by preference, prefer, select",IMPRF ACT 3SG IND,v3siia---
15.t59,ὑπερφέρειν.,ὑπερφέρειν,ὑπερφέρω,VERB,"to bear or carry over, transfer; to surpass, excel",PRES ACT INF,v--pna---
15.t60,ὅμως,ὅμως,ὅμως,ADV,"all the same, nevertheless",INDECL,d--------
15.t61,δὲ,δὲ,δέ,,but,INDECL,b--------
15.t62,ὑμεῖς,ὑμεῖς,σύ,PRONOUN,you (personal pronoun),NOM.PL c,p-p---cn-
15.t63,μηδὲ,μηδὲ,μηδέ,,but not,INDECL,b--------
15.t64,ταῦτʼ,ταῦτʼ,οὗτος,ADJ,this; that,ACC.PL N,a-p---na-
15.t65,εἰκῇ,εἰκῇ,εἰκῇ,ADV,without plan,INDECL,d--------
15.t66,πιστεύσητε,πιστεύσητε,πιστεύω,VERB,"to trust, trust to",AOR ACT 2PL SBJV,v2pasa---
15.t67,τῷ,τῷ,ὁ,ART,the,DAT.SG M,l-s---md-
15.t68,"θεῷ,",θεῷ,θεός,NOUN,god,DAT.SG M,n-s---md-
15.t69,ἀλλὰ,ἀλλὰ,ἀλλά,,"otherwise, but",INDECL,b--------
15.t70,καθʼ,καθʼ,κατά,PREP,"down, against with gen.; according to, throughout with acc.",INDECL,r--------
15.t71,ἓν,ἓν,εἷς,ADJ,one,ACC.SG N,a-s---na-
15.t72,ἕκαστον,ἕκαστον,ἕκαστος,ADJ,"every, every one, each, each one",ACC.SG N,a-s---na-
15.t73,ἐπισκοπεῖτε,ἐπισκοπεῖτε,ἐπισκοπέω,VERB,to look upon,IMPRF ACT 2PL IND,v2piia---
15.t74,ὧν,ὧν,ὅς,PRONOUN,"who, that, which: relative pronoun",GEN.PL N,p-p---ng-
15.t75,εἶπεν,εἶπεν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",AOR ACT 3SG IND,v3saia---
15.t76,ὁ,ὁ,ὁ,ART,the,NOM.SG M,l-s---mn-
15.t77,θεός.,θεός,θεός,NOUN,god,NOM.SG M,n-s---mn-
16.t1,τίνα,τίνα,τίς,ADJ,who? which?,ACC.SG c,a-s---ca-
16.t2,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
16.t3,γὰρ,γὰρ,γάρ,ADV,for,INDECL,d--------
16.t4,ἐπίστασθε,ἐπίστασθε,ἐπίσταμαι,VERB,to know,PRES MID 2PL IND,v2ppie---
16.t5,ἧττον,ἧττον,ἥσσων,ADJ,"less, weaker",ACC.SG N COMP,a-s---nac
16.t6,ἐμοῦ,ἐμοῦ,ἐγώ,PRONOUN,I (first person pronoun),GEN.SG c,p-s---cg-
16.t7,δουλεύοντα,δουλεύοντα,δουλεύω,VERB,to be a slave,PRES ACT NOM.PL N PTCP,v-pppann-
16.t8,ταῖς,ταῖς,ὁ,ART,the,DAT.PL F,l-p---fd-
16.t9,τοῦ,τοῦ,ὁ,ART,the,GEN.SG N,l-s---ng-
16.t10,σώματος,σώματος,σῶμα,NOUN,the body,GEN.SG N,n-s---ng-
16.t11,ἐπιθυμίαις;,ἐπιθυμίαις,ἐπιθυμία,NOUN,"desire, yearning, longing",DAT.PL F,n-p---fd-
16.t12,τίνα,τίνα,τίς,ADJ,who? which?,ACC.SG c,a-s---ca-
16.t13,δὲ,δὲ,δέ,,but,INDECL,b--------
16.t14,ἀνθρώπων,ἀνθρώπων,ἄνθρωπος,NOUN,"man, person, human",GEN.PL M,n-p---mg-
16.t15,"ἐλευθεριώτερον,",ἐλευθεριώτερον,ἐλευθέριος,ADJ,speaking or acting like a free man,NOM.SG N COMP,a-s---nnc
16.t16,ὃς,ὃς,ὅς,PRONOUN,"who, that, which: relative pronoun",NOM.SG M,p-s---mn-
16.t17,παρʼ,παρʼ,παρά,PREP,"from the side of, c. gen., beside, alongside of, c. dat., to the side of, motion alongside of, c. acc.",INDECL,r--------
16.t18,οὐδενὸς,οὐδενὸς,οὐδείς,ADJ,"not one, nobody",GEN.SG N,a-s---ng-
16.t19,οὔτε,οὔτε,οὔτε,,neither / nor,INDECL,b--------
16.t20,δῶρα,δῶρα,δῶρον,NOUN,"a gift, present",ACC.PL N,n-p---na-
16.t21,οὔτε,οὔτε,οὔτε,,neither / nor,INDECL,b--------
16.t22,μισθὸν,μισθὸν,μισθός,NOUN,"wages, pay, hire",ACC.SG M,n-s---ma-
16.t23,δέχομαι;,δέχομαι,δέχομαι,VERB,"to take, accept, receive",PRES MID 1SG IND,v1spie---
16.t24,δικαιότερον,δικαιότερον,δίκαιος,ADJ,"just, observant of custom, correct, balanced",ACC.SG N COMP,a-s---nac
16.t25,δὲ,δὲ,δέ,,but,INDECL,b--------
16.t26,τίνα,τίνα,τίς,ADJ,who? which?,ACC.SG c,a-s---ca-
16.t27,ἂν,ἂν,ἄν,ADV,modal particle,INDECL,d--------
16.t28,εἰκότως,εἰκότως,εἰκότως,ADV,"in all likelihood, suitably, fairly, reasonably, naturally",INDECL,d--------
16.t29,νομίσαιτε,νομίσαιτε,νομίζω,VERB,to have as a custom; to believe,AOR ACT 2PL OPT,v2paoa---
16.t30,τοῦ,τοῦ,ὁ,ART,the,GEN.SG N,l-s---ng-
16.t31,πρὸς,πρὸς,πρός,PREP,"(w. gen.) from; (w. dat.) at, near, in addition to; (w. acc.) to, toward, regarding",INDECL,r--------
16.t32,τὰ,τὰ,ὁ,ART,the,ACC.PL N,l-p---na-
16.t33,παρόντα,παρόντα,πάρειμι,VERB,be present,PRES ACT ACC.PL N PTCP,v-pppana-
16.t34,"συνηρμοσμένου,",συνηρμοσμένου,συναρμόζω,VERB,to fit together,PRF MID GEN.SG N PTCP,v-srpeng-
16.t35,ὡς,ὡς,ὡς,CONJ,"as, how",INDECL,c--------
16.t36,τῶν,τῶν,ὁ,ART,the,GEN.PL N,l-p---ng-
16.t37,ἀλλοτρίων,ἀλλοτρίων,ἀλλότριος,ADJ,of/belonging to another,GEN.PL N,a-p---ng-
16.t38,μηδενὸς,μηδενὸς,μηδείς,ADJ,"(and not one); not one, no-one",GEN.SG N,a-s---ng-
16.t39,προσδεῖσθαι;,προσδεῖσθαι,προσδέω,VERB,to bind on,PRES MID INF,v--pne---
16.t40,σοφὸν,σοφὸν,σοφός,ADJ,"wise, skilled, clever",ACC.SG M,a-s---ma-
16.t41,δὲ,δὲ,δέ,,but,INDECL,b--------
16.t42,πῶς,πῶς,πῶς,ADV,how? in what way,INDECL,d--------
16.t43,οὐκ,οὐκ,οὐ,ADV,not,INDECL,d--------
16.t44,ἄν,ἄν,ἄν,ADV,modal particle,INDECL,d--------
16.t45,τις,τις,τις,ADJ,"any one, any thing, some one, some thing",NOM.SG c,a-s---cn-
16.t46,εἰκότως,εἰκότως,εἰκότως,ADV,"in all likelihood, suitably, fairly, reasonably, naturally",INDECL,d--------
16.t47,ἄνδρα,ἄνδρα,ἀνήρ,NOUN,a man,ACC.SG M,n-s---ma-
16.t48,φήσειεν,φήσειεν,φημί,VERB,"to say, to claim",AOR ACT 3SG OPT,v3saoa---
16.t49,εἶναι,εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
16.t50,ὃς,ὃς,ὅς,PRONOUN,"who, that, which: relative pronoun",NOM.SG M,p-s---mn-
16.t51,ἐξ,ἐξ,ἐκ,PREP,from out of,INDECL,r--------
16.t52,ὅτουπερ,ὅτουπερ,ὅστισπερ,PRONOUN,,GEN.SG N,p-s---ng-
16.t53,ξυνιέναι,ξυνιέναι,συνέρχομαι,VERB,"come together, meet",PRES ACT INF,v--pna---
16.t54,τὰ,τὰ,ὁ,ART,the,ACC.PL N,l-p---na-
16.t55,λεγόμενα,λεγόμενα,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",PRES MID ACC.PL N PTCP,v-pppena-
16.t56,ἠρξάμην,ἠρξάμην,ἄρχω,VERB,"(to be first) to rule, to begin",AOR MID 1SG IND,v1saim---
16.t57,οὐπώποτε,οὐπώποτε,οὐπώποτε,ADV,not yet; not at all,INDECL,d--------
16.t58,διέλειπον,διέλειπον,διαλείπω,VERB,to leave an interval between,IMPRF ACT 1SG IND,v1siia---
16.t59,καὶ,καὶ,καί,,"and, also",INDECL,b--------
16.t60,ζητῶν,ζητῶν,ζητέω,VERB,"to seek, seek for",PRES ACT NOM.SG M PTCP,v-sppamn-
16.t61,καὶ,καὶ,καί,,"and, also",INDECL,b--------
16.t62,μανθάνων,μανθάνων,μανθάνω,VERB,to learn,PRES ACT NOM.SG M PTCP,v-sppamn-
16.t63,ὅ,ὅ,ὅς,PRONOUN,"who, that, which: relative pronoun",ACC.SG N,p-s---na-
16.t64,τι,τι,τις,ADJ,"any one, any thing, some one, some thing",ACC.SG N,a-s---na-
16.t65,ἐδυνάμην,ἐδυνάμην,δύναμαι,VERB,"to be able, capable, strong enough",IMPRF MID 1SG IND,v1siie---
16.t66,ἀγαθόν;,ἀγαθόν,ἀγαθός,ADJ,good,ACC.SG N,a-s---na-
17.t1,ὡς,ὡς,ὡς,CONJ,"as, how",INDECL,c--------
17.t2,δὲ,δὲ,δέ,,but,INDECL,b--------
17.t3,οὐ,οὐ,οὐ,ADV,not,INDECL,d--------
17.t4,μάτην,μάτην,μάτην,ADV,"in vain, idly, fruitlessly",INDECL,d--------
17.t5,ἐπόνουν,ἐπόνουν,πονέω,VERB,"to work hard, do work, suffer toil",IMPRF ACT 3PL IND,v3piia---
17.t6,οὐ,οὐ,οὐ,ADV,not,INDECL,d--------
17.t7,δοκεῖ,δοκεῖ,δοκέω,VERB,"seem, impers. it seems best..",PRES ACT 3SG IND,v3spia---
17.t8,ὑμῖν,ὑμῖν,σύ,PRONOUN,you (personal pronoun),DAT.PL c,p-p---cd-
17.t9,καὶ,καὶ,καί,,"and, also",INDECL,b--------
17.t10,τάδε,τάδε,ὅδε,ADJ,this,ACC.PL N,a-p---na-
17.t11,τεκμήρια,τεκμήρια,τεκμήριον,NOUN,a sure sign,ACC.PL N,n-p---na-
17.t12,"εἶναι,",εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
17.t13,τὸ,τὸ,ὁ,ART,the,ACC.SG N,l-s---na-
17.t14,πολλοὺς,πολλοὺς,πολύς,ADJ,"much, many",ACC.PL M,a-p---ma-
17.t15,μὲν,μὲν,μέν,ADV,"on the one hand, on the other hand",INDECL,d--------
17.t16,πολίτας,πολίτας,πολίτης,NOUN,(fellow) citizen,ACC.PL M,n-p---ma-
17.t17,τῶν,τῶν,ὁ,ART,the,GEN.PL F,l-p---fg-
17.t18,ἀρετῆς,ἀρετῆς,ἀρετή,NOUN,"goodness, excellence",GEN.SG F,n-s---fg-
17.t19,"ἐφιεμένων,",ἐφιεμένων,ἐφίημι,VERB,to send to; (mid) to long for,PRES MID GEN.PL F PTCP,v-pppefg-
17.t20,πολλοὺς,πολλοὺς,πολύς,ADJ,"much, many",ACC.PL M,a-p---ma-
17.t21,δὲ,δὲ,δέ,,but,INDECL,b--------
17.t22,"ξένων,",ξένων,ξένος,ADJ,"a guest, guest-friend, stranger; foreign",GEN.PL M,a-p---mg-
17.t23,ἐκ,ἐκ,ἐκ,PREP,from out of,INDECL,r--------
17.t24,πάντων,πάντων,πᾶς,ADJ,"all, the whole",GEN.PL M,a-p---mg-
17.t25,προαιρεῖσθαι,προαιρεῖσθαι,προαιρέω,VERB,"to bring forth; (mid.) to choose, to prefer",PRES MID INF,v--pne---
17.t26,ἐμοὶ,ἐμοὶ,ἐγώ,PRONOUN,I (first person pronoun),DAT.SG c,p-s---cd-
17.t27,ξυνεῖναι;,ξυνεῖναι,σύνειμι,VERB,"be with (incl. be wife of, study with)",PRES ACT INF,v--pna---
17.t28,ἐκείνου,ἐκείνου,ἐκεῖνος,ADJ,"that over there, that",GEN.SG M,a-s---mg-
17.t29,δὲ,δὲ,δέ,,but,INDECL,b--------
17.t30,τί,τί,τίς,ADJ,who? which?,ACC.SG N,a-s---na-
17.t31,φήσομεν,φήσομεν,φημί,VERB,"to say, to claim",AOR ACT 1PL SBJV,v1pasa---
